Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	107.357	31	0.18399 0.000347111	0.183804 0.0157937	0.00100422 0.0477871	0.0964859 3.68993e-06	0.0961477 5.06076e-06	0.00210865 0.000264394	
1.5	90.1561	29.5	0.186188 0.000204714	0.186253 0.00167544	-0.000324058 0.0110735	0.0924193 1.41477e-05	0.093529 5.73993e-05	-0.00608436 0.000238086	
2.5	82.91	28.5	0.183965 8.70459e-05	0.183847 1.25677e-05	0.000621808 0.00210612	0.0874633 3.58216e-05	0.0948516 0.000145131	-0.0406782 0.000578494	
3.5	79.1973	28	0.179808 2.35243e-05	0.168024 0.0114099	0.0559402 0.0359774	0.0864581 7.82911e-05	0.0841291 0.000273298	0.0124627 0.0016635	
4.5	74.2971	27.5	0.179863 0.000124456	0.171707 0.00128636	0.0367528 0.00819354	0.0824529 0.000206903	0.0849947 0.0029084	-0.0143303 0.0113892	
5.5	70.9073	26.5	0.176151 1.56867e-05	0.16282 0.0046712	0.057693 0.0171089	0.0821081 0.000204635	0.0862215 0.000222831	-0.0233447 0.00101699	
6.5	68.9451	26	0.171029 0.000251816	0.16903 0.011252	0.00868983 0.0333289	0.0764957 1.8174e-05	0.0815123 5.19003e-05	-0.0253864 0.000103136	
7.5	66.7045	25.5	0.173531 0.000330658	0.165146 0.00875479	0.0341753 0.0242895	0.080599 1.05684e-05	0.0846273 1.7357e-06	-0.0224069 0.000401866	
8.5	64.9699	25	0.168459 0.000178074	0.165747 0.00133239	0.0124905 0.00753446	0.0707384 4.75965e-07	0.0835388 2.48842e-05	-0.064951 0.000137868	
9.5	61.6947	24.5	0.170113 0.000181882	0.167854 0.0188417	0.00900466 0.0415538	0.0765649 3.94321e-05	0.0766502 0.000138112	-0.000444388 0.000586232	
10.5	59.2659	24	0.167922 0.000132266	0.15126 0.00249692	0.0594906 0.00925411	0.0730401 0.000360152	0.0746647 0.0027677	-0.00900324 0.0100094	
11.5	58.6013	23.5	0.165131 0.000160787	0.150904 0.000645979	0.0572186 0.00228495	0.0687949 0.000257498	0.077942 0.00381484	-0.0458975 0.0150337	
12.5	56.6875	23	0.165179 4.77552e-05	0.152908 0.00023092	0.0453579 0.00158217	0.0699326 4.00537e-05	0.0737518 0.000418341	-0.0203849 0.0032865	
13.5	54.9605	22.5	0.160718 7.36246e-05	0.156006 0.00116316	0.0190861 0.00610812	0.0688928 0.000110066	0.0749614 0.00317457	-0.0296639 0.0119692	
14.5	52.2682	22	0.159974 5.69159e-05	0.14824 2.40987e-05	0.0434843 0.00128789	0.0607676 2.83135e-05	0.0688767 0.000180485	-0.0402046 0.0012054	
15.5	51.668	21.5	0.158098 7.10102e-06	0.152716 2.48073e-05	0.0199643 0.000100778	0.0627614 0.000159773	0.0691754 0.00117508	-0.0303277 0.00638612	
16.5	49.9322	21	0.159006 9.53031e-05	0.141779 0.00120073	0.0601383 0.00541522	0.0653491 2.00936e-05	0.0715331 1.60972e-05	-0.030296 0.000268565	
17.5	47.9579	20.5	0.156084 9.79721e-05	0.14347 0.000463563	0.0432901 0.00229935	0.0629688 0.000830348	0.0729759 0.00338512	-0.049967 0.00651746	
18.5	45.6627	20	0.161452 0.000126012	0.145435 0.000151251	0.0560868 0.00116209	0.0648577 2.84582e-05	0.0760666 7.92314e-05	-0.0553004 0.000239544	
19.5	45.7745	19.5	0.153607 5.63706e-06	0.124461 0.00209812	0.0944804 0.00819758	0.0569487 7.75391e-05	0.0579204 7.75407e-05	-0.00454217 0.000597571	
20.5	43.55	19	0.151515 0.000441521	0.145234 0.00611267	0.0201406 0.0142305	0.0541799 0.000107932	0.0612104 0.00446135	-0.0339084 0.0125722	
21.5	42.9457	18.5	0.1468 0.000204055	0.136818 0.00087941	0.0309969 0.00256311	0.0527258 0.000195245	0.0571374 0.000571663	-0.0215263 0.00207751	
22.5	41.1524	18	0.146171 4.22605e-05	0.139046 0.000379227	0.020928 0.00252582	0.0528032 6.88948e-06	0.0632066 3.24162e-05	-0.0468679 0.00011004	
23.5	40.179	17.5	0.145337 5.88004e-05	0.127599 0.00228768	0.0536107 0.007553	0.0569732 6.47522e-05	0.0650875 0.00492364	-0.036586 0.0142163	
24.5	38.7709	17	0.14304 0.000179901	0.136349 0.000504204	0.0197167 0.000143523	0.0503139 8.46816e-05	0.0670848 0.000160631	-0.0796384 0.000128971	
25.5	38.1834	16.5	0.143357 3.71779e-05	0.128787 0.00242364	0.0444302 0.0077714	0.0497482 4.04372e-06	0.0591032 2.71814e-05	-0.044201 0.000106953	
26.5	36.6191	16	0.135113 9.87738e-05	0.123348 0.00019594	0.0354463 0.000554847	0.048536 6.79135e-05	0.0587899 0.00319377	-0.0463159 0.00892937	
27.5	35.4445	16	0.133349 5.80498e-05	0.133203 0.000524367	0.000431451 0.00236951	0.0436666 1.03926e-05	0.0503281 3.70591e-05	-0.0287675 0.000117007	
28.5	34.3761	15.5	0.141504 8.10113e-05	0.134107 0.00040205	0.0214073 0.00132168	0.0450605 0.000164763	0.0463672 0.000595277	-0.00577659 0.00198757	
29.5	32.9445	15	0.133685 4.63384e-05	0.136923 0.000597875	-0.00898862 0.00305776	0.0464289 4.213e-05	0.0576131 0.000174897	-0.0537323 0.00164293	
30.5	31.5228	14.5	0.135148 0.000202846	0.135498 0.00133656	-0.00102181 0.00444163	0.0461928 5.72373e-05	0.0511671 2.58028e-05	-0.0236987 0.000862393	
