Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	76.4984	28	-4.12331e-07 5.00472e-08	3.20743e-06 5.66892e-07	9.13854e-08 2.34574e-08	-1.07605e-08 2.42428e-09	-3.81092e-10 1.13392e-10	-1.20343e-10 3.85014e-11	
15	52.3415	21.5	-2.81394e-07 3.00223e-08	4.24844e-06 7.35643e-07	3.37667e-08 1.24404e-08	-2.00032e-08 2.12244e-09	-1.64616e-10 5.57338e-11	-1.19825e-10 1.62741e-11	
25	38.4721	17	-2.18014e-07 1.91066e-08	5.62714e-06 6.93705e-07	-2.84701e-08 8.24328e-09	-1.98702e-08 2.12316e-09	-1.47161e-10 3.2784e-11	-1.0021e-10 9.88993e-12	
35	27.5563	13	-1.25772e-07 1.21029e-08	3.36432e-06 5.74678e-07	-3.16194e-08 4.83809e-09	-1.87687e-08 1.38378e-09	-1.48491e-10 2.17171e-11	-6.17202e-11 5.77652e-12	
45	19.1197	9.5	-6.90495e-08 6.2483e-09	-1.30006e-06 4.19085e-07	-2.37695e-08 2.08136e-09	-1.31866e-08 8.59436e-10	-8.55769e-11 7.70306e-12	-2.34387e-11 1.9351e-12	
55	12.7663	7	-4.38189e-08 4.39474e-09	-4.82146e-06 2.57364e-07	-1.13172e-08 1.04839e-09	-7.7974e-09 4.35469e-10	-4.47739e-11 5.67154e-12	-6.69432e-12 5.8397e-13	
65	8.02605	5	-3.66242e-08 3.51062e-09	-4.02222e-06 1.72963e-07	-5.88242e-09 3.74768e-10	-1.92796e-09 1.324e-10	-7.88639e-12 1.03879e-12	-1.03397e-12 7.08782e-14	
75	4.59446	3.5	-1.3352e-08 1.08285e-09	-1.68204e-06 8.79693e-08	-1.22836e-09 1.16803e-10	-1.39548e-10 1.36374e-11	-4.47997e-13 1.36654e-13	-1.88782e-13 1.72258e-14	
85	2.26672	2.5	-1.05519e-09 1.20049e-10	-3.04853e-07 2.19616e-08	-5.06868e-11 6.74195e-12	-5.73902e-13 1.1514e-13	-3.47642e-15 4.60321e-16	-8.03547e-15 1.04827e-15	
95	0.644757	2	-1.20025e-12 2.62589e-13	-8.21177e-09 1.40165e-09	-2.59825e-14 7.75706e-15	-4.07321e-16 6.24712e-17	-3.00124e-17 6.64705e-18	-8.41705e-18 1.69643e-18	
