Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	976.859	362.5	0.0648019 0.00170537	 0.0468205 0.000757444	 0.0193017 0.000418738	 0.0114081 0.000239444	 0.00609582 0.000133096	 0.00329926 7.61709e-05	 
15	663.854	267	0.0953048 0.00242378	 0.0641145 0.000885335	 0.0216314 0.000484948	 0.0140212 0.000282314	 0.00716855 0.000161813	 0.00399324 8.91676e-05	 
25	440.483	192.5	0.104128 0.00294679	 0.0820001 0.0012015	 0.0257615 0.000600615	 0.0160726 0.000370735	 0.00881002 0.000191626	 0.00459207 0.000116103	 
35	283.991	134.5	0.176825 0.0687257	 0.0903214 0.00136221	 0.0270682 0.000651529	 0.0181006 0.000441649	 0.00893323 0.000214788	 0.00491786 0.000142731	 
45	168.843	90	0.154926 0.0316136	 0.0972324 0.00162857	 0.0288761 0.000673434	 0.0186075 0.00048282	 0.0091271 0.000246343	 0.00448781 0.000139003	 
55	126.779	56.5	0.116612 0.00427791	 0.103311 0.00176034	 0.0296626 0.000838601	 0.019619 0.000509154	 0.0090337 0.000267911	 0.00464271 0.000158662	 
65	nan	32.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
75	nan	16.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
85	nan	7	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
95	nan	2.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
