Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	1010.79	387.5	0.797091 0.0302674	-0.582734 0.226821	-0.649221 0.451453	
7.5	960.461	334	0.822948 0.022246	0.365924 0.404178	0.608631 0.0908604	
12.5	652.422	287	0.88109 0.0159564	-0.623003 0.299299	0.659709 0.070512	
17.5	672.571	245	0.882614 0.0123419	0.547174 0.142911	0.644747 0.0708609	
22.5	441.456	207.5	0.869695 0.0213141	-0.350883 0.522022	-0.635453 0.152179	
27.5	439.791	175	0.897141 0.0125274	0.486913 0.19429	0.696327 0.0568724	
32.5	284.497	146.5	0.90378 0.0116288	0.555474 0.146015	0.531356 0.148753	
37.5	284.125	121	0.891728 0.0119769	0.581452 0.124363	0.56799 0.130449	
42.5	165.233	99	0.856257 0.0173686	0.682194 0.0625753	0.379866 0.480881	
47.5	173.463	80	0.893904 0.0134449	0.683105 0.0750411	0.682451 0.0938341	
52.5	127.977	63	0.858177 0.0189269	-0.498904 0.417823	-0.276419 0.931347	
57.5	126.218	48.5	0.890058 0.0145756	-0.648811 0.125169	0.27747 0.826795	
62.5	nan	37	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	
