Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
0.5	942.079	408.5	3.16229e-08 3.10101e-08	5.57624e-09 3.16665e-09	-3.56002e-11 3.7162e-11	1.14526e-12 1.10665e-12	-3.2193e-15 2.5724e-14	-3.36978e-17 2.27972e-16	
1.5	966.455	396	1.63526e-08 3.1824e-08	8.82296e-09 4.22915e-09	-6.18706e-11 9.95229e-11	-6.64759e-14 1.09651e-13	5.52432e-15 1.41673e-14	-5.15732e-16 1.20995e-15	
2.5	1025.81	386	-3.39055e-08 2.95766e-08	1.24706e-09 2.10247e-09	8.08163e-14 4.4092e-12	-2.75271e-13 3.29418e-13	-1.51518e-15 9.77522e-15	-4.76745e-17 1.30798e-16	
3.5	967.916	375.5	1.68346e-08 4.94146e-08	1.47408e-09 2.72974e-09	1.35488e-11 1.26173e-11	1.3344e-13 6.37351e-13	3.74371e-15 6.7424e-15	-1.87155e-16 2.15014e-16	
4.5	903.767	364.5	3.97178e-09 4.36487e-08	1.27413e-08 6.85537e-09	-7.10272e-12 1.37235e-11	-6.49694e-13 7.11882e-13	-2.83489e-14 3.46632e-14	-2.02539e-16 4.00211e-16	
5.5	1036.95	354	2.49494e-09 3.56172e-09	5.69703e-10 7.75432e-10	2.46882e-13 4.7846e-12	1.42593e-13 1.47713e-13	4.20369e-15 2.7574e-15	-1.83871e-17 8.89815e-17	
6.5	1029.43	344	8.40202e-09 1.60715e-08	1.29985e-09 6.1883e-10	-4.11119e-13 4.08237e-12	5.47247e-14 1.76689e-13	-1.60867e-16 4.91066e-15	1.42283e-16 1.29695e-16	
7.5	980.197	334	-1.14437e-08 7.8821e-09	2.28962e-09 1.04751e-09	-1.0104e-11 1.0228e-11	1.3595e-13 2.51526e-13	8.68639e-15 6.11063e-15	-2.04714e-16 1.66993e-16	
8.5	966.6	324	-6.70498e-09 7.95629e-09	3.83467e-09 1.06466e-09	-5.51514e-13 4.68957e-12	-8.29366e-14 1.9487e-13	6.31986e-15 4.61165e-15	-6.93182e-17 1.25615e-16	
9.5	911.889	314	4.08376e-09 7.30905e-09	3.81001e-09 1.97001e-09	-1.84506e-12 5.56958e-12	5.22131e-13 6.28933e-13	-3.71312e-15 4.63458e-15	-4.00963e-16 3.14342e-16	
10.5	684.188	304.5	1.45531e-08 7.33512e-08	1.81513e-08 9.9652e-09	4.73961e-11 4.51497e-11	-5.02559e-13 1.28797e-12	-2.00268e-14 2.21642e-14	2.30849e-15 1.61687e-15	
11.5	657.217	295.5	2.95932e-07 2.61566e-07	2.37134e-08 8.69135e-09	1.67209e-12 8.4797e-12	5.56378e-13 4.77038e-13	7.82932e-15 1.13364e-14	2.30947e-15 2.01484e-15	
12.5	663.211	286.5	2.54199e-07 4.74687e-07	3.34162e-08 1.15886e-08	3.3011e-11 2.32138e-11	1.07188e-12 1.07798e-12	2.10313e-14 8.16305e-14	7.97043e-17 2.85641e-16	
13.5	611.677	277.5	2.72644e-09 7.04794e-08	6.40647e-08 2.08358e-08	-7.27921e-12 1.9897e-11	3.75109e-13 1.25263e-12	2.62211e-14 2.055e-14	-2.30065e-15 1.36731e-15	
14.5	643.613	269	-1.00803e-07 2.28176e-07	3.19631e-08 1.13424e-08	-1.42321e-11 1.92271e-11	-1.02025e-12 1.25601e-12	5.69266e-15 2.13298e-14	-9.82058e-16 9.00993e-16	
15.5	656.986	260.5	4.52232e-08 5.14248e-08	3.08749e-08 8.11017e-09	7.31626e-12 7.05758e-12	2.50057e-13 6.78617e-13	9.80475e-15 1.80891e-14	1.40616e-17 4.96025e-16	
16.5	681.857	252	-3.98491e-08 1.49069e-07	3.37383e-08 1.22214e-08	1.0096e-11 1.43321e-11	6.68827e-13 9.7032e-13	-1.77978e-14 2.82815e-14	1.19602e-15 9.49164e-16	
17.5	639.4	244	2.10103e-07 2.67003e-07	3.61056e-08 1.21471e-08	-1.26841e-11 1.13172e-11	1.49154e-12 1.49141e-12	-3.08016e-14 1.99562e-14	-7.42737e-16 5.90633e-16	
18.5	675.247	236.5	-2.23518e-07 1.95741e-07	2.28206e-08 9.8449e-09	-7.66469e-12 2.10559e-11	2.8517e-12 2.60472e-12	1.15311e-14 1.67249e-14	-6.87542e-16 9.44871e-16	
19.5	705.631	229	-8.74044e-08 8.57792e-08	4.43581e-08 1.5005e-08	3.04964e-11 2.8195e-11	-2.5621e-12 2.08791e-12	6.81009e-15 3.14832e-14	-5.03544e-16 5.25585e-16	
20.5	437.3	221.5	-1.51033e-07 1.60574e-07	1.23646e-07 4.26395e-08	7.15174e-12 4.74107e-11	-4.34378e-12 3.13058e-12	4.06769e-14 7.72849e-14	-3.38401e-15 4.09702e-15	
21.5	423.739	214	1.20147e-07 1.13284e-07	1.44394e-07 4.39734e-08	-3.47394e-11 4.00153e-11	-3.90947e-12 5.28819e-12	-2.17488e-14 6.53293e-14	-1.02589e-16 1.37484e-15	
22.5	473.169	207	-5.10791e-07 5.08706e-07	1.30895e-07 5.23444e-08	-7.97233e-11 5.20733e-11	-1.28413e-12 2.1324e-12	-2.10475e-13 1.92051e-13	-1.33968e-15 1.51678e-15	
23.5	441.509	200.5	-5.4624e-08 1.53097e-07	1.67536e-07 4.06598e-08	-1.56885e-11 1.95197e-11	3.50577e-13 2.07309e-12	2.33718e-14 2.71361e-14	-1.17777e-15 1.20648e-15	
24.5	445.482	193.5	-6.48244e-08 9.96843e-08	1.18309e-07 3.98157e-08	5.74877e-11 4.83787e-11	-1.75808e-12 1.99772e-12	6.26434e-14 9.48782e-14	-1.0293e-15 1.0423e-15	
25.5	427.794	187	-1.83919e-07 4.14072e-07	1.68924e-07 5.27992e-08	-8.18191e-11 1.02489e-10	1.63468e-12 1.43683e-12	6.05598e-14 1.77548e-13	-1.04399e-15 8.37065e-16	
