Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	942.079	408.5	0.0676161 0.00642952	 0.0460296 0.0033527	 0.0218768 0.00327462	 0.0119177 0.00102599	 0.00684423 0.00085072	 0.00303594 0.000359473	 
1.5	966.455	396	0.0697533 0.006949	 0.0494861 0.00339463	 0.0236084 0.00387259	 0.00899342 0.00118345	 0.00617301 0.000622589	 0.00415017 0.000543421	 
2.5	1025.81	386	0.0665313 0.00762104	 0.0456668 0.00352841	 0.0167387 0.0016224	 0.0109663 0.0010958	 0.00586135 0.000749006	 0.0031751 0.000374032	 
3.5	967.916	375.5	0.0762384 0.00828185	 0.0480293 0.00327287	 0.0199385 0.00131719	 0.0124539 0.0011742	 0.00578887 0.000422778	 0.00318365 0.000288136	 
4.5	903.767	364.5	0.0778031 0.00644929	 0.053978 0.00280247	 0.0204405 0.00196751	 0.0122746 0.00118278	 0.00716281 0.000804218	 0.0033936 0.000359576	 
5.5	1036.95	354	0.0545657 0.00329724	 0.0412261 0.00225531	 0.018021 0.00112638	 0.0101524 0.000591549	 0.00539194 0.000349081	 0.00299136 0.000196498	 
6.5	1029.43	344	0.0621211 0.00443824	 0.0406099 0.00174165	 0.0179609 0.00103447	 0.0106349 0.000544536	 0.00597257 0.000361356	 0.00323334 0.00016479	 
7.5	980.197	334	0.0589967 0.00379921	 0.0456868 0.00209844	 0.0203697 0.00123996	 0.0114505 0.000562138	 0.00628949 0.000338462	 0.00316193 0.000204847	 
8.5	966.6	324	0.0627677 0.00371206	 0.0454301 0.00155892	 0.0189582 0.000924366	 0.0110689 0.000529665	 0.00590633 0.000267218	 0.00323399 0.000163927	 
9.5	911.889	314	0.0630416 0.00319752	 0.0517122 0.00237121	 0.019037 0.00103466	 0.0134087 0.000679092	 0.00592441 0.00031922	 0.00362285 0.000220599	 
10.5	684.188	304.5	0.0911065 0.00587021	 0.0636725 0.0034763	 0.0236069 0.00205463	 0.014414 0.00101818	 0.00736342 0.000509798	 0.00425155 0.000337534	 
11.5	657.217	295.5	0.107724 0.00678272	 0.059438 0.00246626	 0.0197847 0.00132434	 0.0119726 0.000705798	 0.00645956 0.000397162	 0.0038234 0.000389205	 
12.5	663.211	286.5	0.0964223 0.0100945	 0.0628486 0.00247408	 0.0202496 0.00162791	 0.0136573 0.000754549	 0.00747718 0.000749224	 0.00354853 0.000227628	 
13.5	611.677	277.5	0.0819875 0.00729413	 0.0700728 0.00283282	 0.0229727 0.00154571	 0.0144755 0.000969998	 0.0061412 0.000537369	 0.00431594 0.000363024	 
14.5	643.613	269	0.0988251 0.00834741	 0.0634897 0.00270415	 0.0228038 0.00162897	 0.0143675 0.00105464	 0.00732908 0.00046448	 0.00422428 0.000309048	 
15.5	656.986	260.5	0.0864589 0.00526958	 0.0618577 0.00258739	 0.0191048 0.00120349	 0.0128815 0.000781294	 0.00698147 0.00041094	 0.00382443 0.000272587	 
16.5	681.857	252	0.101103 0.00698675	 0.0647147 0.00280604	 0.0214506 0.00123442	 0.0140307 0.000839542	 0.00754807 0.000514791	 0.0042464 0.000224353	 
17.5	639.4	244	0.0921451 0.00864869	 0.0645422 0.00257562	 0.020494 0.00145806	 0.0148632 0.000857879	 0.00707177 0.000497506	 0.00382853 0.000300219	 
18.5	675.247	236.5	0.0948955 0.00829135	 0.0626764 0.00302392	 0.022806 0.00172882	 0.0158632 0.00088071	 0.00689731 0.000411805	 0.00434993 0.000302558	 
19.5	705.631	229	0.0898879 0.00683894	 0.0679443 0.00316784	 0.0238518 0.00140266	 0.0148944 0.0011773	 0.0078282 0.000517205	 0.00393717 0.000272564	 
