Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
38.5	268.29	116	0.172526 0.00183386	0.296805 0.0261247	-0.576828 0.127647	-0.00297374 0.00287925	0.00381769 0.00138708	-0.0967712 0.0201753	
39.5	280.463	111.5	0.169726 0.00043246	0.275965 0.046506	-0.455263 0.183107	-0.00820277 0.00159266	-0.0834388 0.00250735	1.10888 0.0210336	
40.5	159.571	107	0.139586 0.000323102	0.182436 0.00215407	-0.15294 0.0176453	-0.00724586 0.000224978	0.00619707 0.00114924	-0.142056 0.00815047	
41.5	163.736	103	0.158612 0.000756062	0.30019 0.0474272	-0.532134 0.178101	0.00812362 0.00341415	0.00820647 0.0097584	-0.000784089 0.0614144	
42.5	162.032	98.5	0.152191 0.00171652	0.217464 0.00201003	-0.203515 0.00996384	-0.00706041 0.00114706	-0.0363059 0.00475014	0.281959 0.0566861	
43.5	170.033	94	0.155134 0.00501791	0.262913 0.0507091	-0.372993 0.167797	-0.00476678 0.00103764	-0.0525979 0.00458626	0.484504 0.0617699	
44.5	175.386	90.5	0.138744 0.00185107	0.307316 0.0282821	-0.532472 0.0950738	0.0119273 0.00053843	0.0238821 0.00198119	-0.110549 0.0134809	
45.5	176.912	87	0.170542 0.00293492	0.227643 0.085015	-0.207669 0.294578	-0.00766692 0.00230327	-0.0191485 0.00670716	0.0924658 0.034558	
46.5	167.127	83	0.140545 2.8532e-05	0.169659 0.100564	-0.110931 0.303113	-0.0135857 0.00178322	-0.0749285 0.0024785	0.655404 0.0126508	
47.5	178.848	79.5	0.143791 1.58727e-05	0.179624 0.018264	-0.113516 0.0776339	-0.0052405 0.000294592	-0.0301081 0.00209374	0.228627 0.0144673	
48.5	168.962	76	0.159156 0.00203468	0.286809 0.00678313	-0.395145 0.00259392	-0.00555447 0.00113929	0.0181138 0.00249668	-0.218131 0.0159123	
49.5	181.353	72.5	0.148419 0.00538186	0.244174 0.0578392	-0.296829 0.151931	0.00218314 0.00145507	0.0301584 0.00540063	-0.257558 0.0354132	
50.5	140.174	69	0.153531 0	0.261498 0	-0.376216 0	-0 nan	nan nan	nan nan	
51.5	113.786	65.5	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
52.5	125.232	62.5	-inf nan	nan nan	nan nan	0 nan	nan nan	nan nan	
53.5	125.352	59.5	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
54.5	125.271	56.5	-inf nan	nan nan	nan nan	0 nan	nan nan	nan nan	
55.5	124.335	54	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
56.5	119.559	51.5	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
57.5	124.97	48.5	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
58.5	123.947	46	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
59.5	128.656	43.5	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
60.5	nan	41	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
61.5	nan	39	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
63.5	nan	35	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
64.5	nan	33	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
65.5	nan	31	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
66.5	nan	29	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
68.5	nan	25	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
69.5	nan	23.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
70.5	nan	22	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
71.5	nan	20.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
73.5	nan	17.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
74.5	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75.5	nan	15.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
76.5	nan	14	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	12.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
78.5	nan	11.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
79.5	nan	10.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
80.5	nan	9.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
81.5	nan	9	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
83.5	nan	7.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
84.5	nan	6.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85.5	nan	6	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
86.5	nan	5.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
88.5	nan	4.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
89.5	nan	4	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
90.5	nan	3.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
91.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
93.5	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
94.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95.5	nan	2	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
96.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
98.5	nan	1	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
99.5	nan	0	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
