Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	1010.79	387.5	0.239821 0.00135645	0.25381 0.00301985	-0.48473 0.0732359	0.0654353 0.000149352	0.0704454 0.000391321	-0.235155 0.011384	
7.5	960.461	334	0.212349 0.000163144	0.253344 0.000201017	-0.800377 0.00410464	0.0981133 0.000659772	0.0851464 0.00571967	0.517915 0.100495	
12.5	652.422	287	0.209873 0.00016922	0.313394 0.00837531	-1.30849 0.0935241	0.0130681 0.00011664	0.0317442 0.000355566	-0.546826 0.00648339	
17.5	672.571	245	0.174013 0.000139131	0.265695 0.000584006	-0.817195 0.00386981	-0.00516473 0.000268086	-0.0058736 0.00072159	0.0198583 0.012678	
22.5	441.456	207.5	0.189144 0.000235114	0.293682 3.06846e-05	-0.691471 0.00439148	-0.00225935 0.000271651	0.0229063 0.000280639	-0.543289 0.00110553	
27.5	439.791	175	0.170789 0.000225646	0.263806 0.00360455	-0.489112 0.0230731	-0.00721998 0.000432929	-0.0315535 0.000769881	0.436501 0.00649321	
32.5	284.497	146.5	0.165318 0.000602536	0.250265 0.00229084	-0.372127 0.00527195	-0.00549627 0.000538927	-0.00941508 0.000862151	0.0531213 0.00431508	
37.5	284.125	121	0.170823 0.000212041	0.294077 0.000124022	-0.535382 0.00202163	0.00294382 9.82427e-06	0.00373032 2.91429e-05	-0.0116644 0.000263055	
42.5	165.233	99	0.150198 0.000945367	0.245882 0.00711346	-0.321907 0.0224491	-0.00327171 0.000246311	-0.0206393 0.000325445	0.173433 0.00583929	
47.5	173.463	80	0.153788 0.000510221	0.233963 0.001873	-0.270512 0.00197556	-0.00559195 0.000279944	-0.00770208 0.000675996	0.0185018 0.00367121	
52.5	127.977	63	0.146625 0	0.268935 0	-0.422192 0	-0 nan	nan nan	nan nan	
57.5	126.218	48.5	-inf nan	nan nan	nan nan	-0 nan	nan nan	nan nan	
62.5	nan	37	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
67.5	nan	27.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
72.5	nan	19.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
77.5	nan	13	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
82.5	nan	8	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
87.5	nan	5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
92.5	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
97.5	nan	1.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
