Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	976.859	362.5	3.5962e-08 3.52824e-08	3.11871e-09 5.25781e-10	1.34767e-12 2.51989e-12	8.41298e-14 9.33616e-14	2.02778e-15 2.22245e-15	-5.84322e-17 6.25906e-17	
15	663.854	267	-6.74213e-09 6.65036e-08	3.32669e-08 3.58745e-09	9.39306e-12 8.07695e-12	2.97883e-13 3.24686e-13	2.96281e-15 1.08266e-14	2.4284e-17 2.18202e-16	
25	440.483	192.5	3.12236e-07 3.64459e-07	1.51574e-07 1.62021e-08	-2.57498e-11 1.40589e-11	-6.10667e-13 8.33864e-13	1.74242e-14 2.21637e-14	-1.03899e-15 5.26743e-16	
35	283.991	134.5	0.279075 0.279054	2.71311e-07 3.49735e-08	5.69151e-12 1.9622e-11	8.7827e-14 1.76193e-12	5.09116e-15 2.58563e-14	-8.737e-16 1.084e-15	
45	168.843	90	0.0195991 0.0195538	3.73625e-07 5.77593e-08	3.20804e-11 3.22861e-11	-2.93619e-12 2.25253e-12	-1.63605e-14 3.36181e-14	-1.19313e-15 6.85261e-16	
55	126.779	56.5	1.27104e-06 1.33834e-06	5.16887e-07 8.28692e-08	-8.69427e-11 4.41085e-11	-2.05877e-13 3.03373e-12	-1.04629e-13 3.71592e-14	1.92323e-15 1.80675e-15	
65	nan	32.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
75	nan	16.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
85	nan	7	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
95	nan	2.5	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
