Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	1010.79	387.5	0.0684765 0.00341968	 0.0468081 0.00139996	 0.0196081 0.000804384	 0.0106596 0.0004495	 0.0059668 0.0002323	 0.00320568 0.000135162	 
7.5	960.461	334	0.0630043 0.00190202	 0.046466 0.00092369	 0.0190878 0.000511348	 0.011389 0.00028593	 0.00606919 0.000155879	 0.00328345 9.38378e-05	 
12.5	652.422	287	0.0964927 0.0035284	 0.0645796 0.00127556	 0.0217606 0.000733106	 0.0135863 0.000383524	 0.00701905 0.000246629	 0.00396755 0.000132263	 
17.5	672.571	245	0.0932619 0.00326816	 0.0644271 0.00124156	 0.0215246 0.000631833	 0.0146402 0.000409508	 0.0073288 0.000208201	 0.00407681 0.00012058	 
22.5	441.456	207.5	0.0972162 0.00356889	 0.0810714 0.00173558	 0.0254897 0.00084099	 0.0158218 0.000559009	 0.00881806 0.000279091	 0.00443061 0.000165247	 
27.5	439.791	175	0.110849 0.0046838	 0.0826759 0.00167795	 0.0261055 0.000868271	 0.016378 0.000490226	 0.00880091 0.000259032	 0.00476864 0.000164668	 
32.5	284.497	146.5	0.231137 0.124913	 0.0885157 0.00189853	 0.0273137 0.000967714	 0.0171996 0.000614359	 0.00924816 0.000331574	 0.00453902 0.000182813	 
37.5	284.125	121	0.127443 0.0183114	 0.0919914 0.0019119	 0.0269078 0.00086928	 0.0189224 0.000614885	 0.00864087 0.00027379	 0.00522281 0.000206086	 
42.5	165.233	99	0.179216 0.0515152	 0.0977313 0.002375	 0.0288551 0.000913316	 0.0196313 0.000694878	 0.00943526 0.000349226	 0.00470994 0.00019367	 
47.5	173.463	80	0.122326 0.00789897	 0.0955567 0.00225099	 0.0289152 0.00100347	 0.0179132 0.000622404	 0.00883686 0.000358506	 0.00436232 0.000215752	 
52.5	127.977	63	0.117177 0.00656628	 0.0991384 0.00247405	 0.0292189 0.00111267	 0.0191287 0.000709037	 0.00870849 0.000341582	 0.00442111 0.000200391	 
57.5	126.218	48.5	0.113203 0.005435	 0.10725 0.0025259	 0.0304214 0.00127723	 0.0202601 0.000781458	 0.00934151 0.000417983	 0.0049286 0.000254573	 
62.5	nan	37	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
67.5	nan	27.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
72.5	nan	19.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
77.5	nan	13	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
82.5	nan	8	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
87.5	nan	5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
92.5	nan	3	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
97.5	nan	1.5	nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 nan nan	 
