Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	785.866	363	9.26176e-14 3.78372e-14	-2.28019e-11 6.71826e-11	-6.35751e-13 4.59123e-12	-1.17375e-14 1.06268e-13	1.97293e-15 1.41065e-15	9.23484e-17 5.49517e-17	
15	526.581	267.5	1.85882e-12 1.22848e-12	2.43227e-08 1.69737e-09	-2.49044e-12 9.36038e-12	6.19543e-13 3.37892e-13	1.51104e-14 4.77132e-15	8.8433e-17 1.40459e-16	
25	350.111	191.5	2.85779e-12 8.52309e-13	1.60249e-07 9.13233e-09	2.22751e-11 1.84881e-11	1.61905e-12 7.03822e-13	8.1661e-15 1.10097e-14	1.29659e-15 6.61443e-16	
35	226.039	132	4.40759e-10 3.87669e-10	3.59089e-07 2.10321e-08	2.61502e-11 4.27445e-11	-6.04598e-13 1.14051e-12	6.12619e-13 6.17979e-13	9.28179e-13 9.26568e-13	
45	139.076	87	9.17101e-12 2.59347e-12	4.14318e-07 3.06319e-08	-5.58507e-11 4.18846e-11	1.88014e-12 3.90397e-12	4.90239e-14 4.58165e-14	6.60885e-16 1.59842e-15	
55	77.822	54	3.90163e-11 1.60719e-11	4.19103e-07 4.12853e-08	3.867e-11 4.39877e-11	-1.0993e-11 2.83954e-12	-4.10513e-14 3.45892e-14	1.40817e-15 2.44625e-15	
65	40.2494	30.5	6.28733e-09 2.69925e-09	2.02e-07 3.29038e-08	-2.99588e-11 2.48971e-11	-3.05843e-12 4.30927e-12	-5.50806e-14 2.22015e-14	1.00448e-14 3.73891e-15	
75	18.0826	15.5	7.30806e-09 1.45389e-09	1.78735e-08 1.63109e-08	-3.25449e-11 9.70331e-12	-4.66261e-12 3.006e-12	-1.76324e-14 9.15944e-15	3.39569e-15 1.47638e-15	
85	6.68182	7	1.04805e-09 2.56056e-10	-2.85292e-08 4.07615e-09	-3.1251e-12 6.23158e-13	-3.13798e-14 1.42087e-13	-9.44512e-16 2.74581e-16	3.41547e-17 1.19736e-17	
95	nan	3	nan nan	nan nan	nan nan	nan nan	nan nan	nan nan	
