Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	885.42	388.5	0.248515 5.22283e-06	0.251922 1.57491e-05	-0.124952 0.000443597	0.178894 1.64229e-05	0.178605 0.000230614	0.0111914 0.0106042	
7.5	713.966	335.5	0.239606 4.47026e-06	0.23318 0.000812762	0.118024 0.0148212	0.172311 3.76956e-05	0.172499 2.56271e-05	-0.00510159 0.0018846	
12.5	585.542	287.5	0.235871 1.09421e-05	0.224446 5.2955e-05	0.128213 0.000209599	0.16337 7.86184e-06	0.165993 2.37915e-05	-0.0555659 0.000358606	
17.5	479.277	245	0.231116 2.55704e-05	0.218789 0.000212456	0.0989909 0.00250618	0.15652 4.10811e-07	0.156921 1.33301e-06	-0.00688347 1.59235e-05	
22.5	391.294	207	0.228437 6.85688e-06	0.210941 0.001049	0.10908 0.00657341	0.145887 1.26945e-05	0.150153 5.14099e-05	-0.0567549 0.000944942	
27.5	316.098	173.5	0.225711 1.4964e-06	0.204064 0.000281507	0.108073 0.00227809	0.133589 9.00831e-06	0.143067 9.27095e-06	-0.109405 0.00020314	
32.5	254.327	144	0.220242 4.971e-05	0.19458 0.00102915	0.106856 0.00443286	0.129318 3.49032e-05	0.12935 0.000130897	-0.000317979 0.00145467	
37.5	201.449	118	0.214481 1.11029e-05	0.188275 0.00228798	0.0984633 0.00694032	0.117868 6.88955e-06	0.127238 2.11013e-05	-0.0718277 0.000108552	
42.5	157.426	96	0.206287 9.6595e-06	0.174944 0.000186365	0.103236 0.00118609	0.108036 5.54862e-05	0.116605 2.07011e-05	-0.054112 0.000780662	
47.5	120.643	77	0.200283 2.77144e-05	0.163572 0.000191515	0.109762 0.000882222	0.100113 1.35496e-05	0.110909 4.3631e-05	-0.0601832 0.000161843	
52.5	90.4899	60.5	0.189761 2.69962e-05	0.157247 0.00103118	0.0859444 0.00281425	0.088223 4.88137e-06	0.0998662 1.88437e-05	-0.0568786 6.77833e-05	
57.5	66.5408	46.5	0.179045 4.22026e-05	0.14078 0.00270509	0.0904283 0.00502177	0.0755016 4.0924e-05	0.0915737 0.000150513	-0.0713536 0.000627233	
62.5	47.6655	34.5	0.167193 3.21885e-06	0.128973 0.000533358	0.0848148 0.00148478	0.0665024 1.36534e-05	0.0832158 0.000288344	-0.0660531 0.0011387	
67.5	33.1509	25	0.146665 1.28941e-05	0.14018 0.000103071	0.0131774 0.000219016	0.0502159 5.72375e-05	0.072851 0.00018631	-0.0813563 0.000542712	
72.5	21.552	18	0.131117 0.000215009	0.152328 0.00133393	-0.0418014 0.00198829	0.0410479 0.000124215	0.0753037 0.000353023	-0.114148 0.000571159	
77.5	14.0873	12.5	0.103306 5.00891e-05	0.164901 0.000213823	-0.115686 0.000701384	0.0279237 2.94798e-05	0.0620582 1.23451e-05	-0.106734 7.37714e-05	
82.5	8.49706	8	0.0865692 7.35297e-05	0.185187 4.92069e-05	-0.181299 0.000159097	0.0203434 1.95318e-05	0.0561502 5.04478e-05	-0.103466 0.000104169	
87.5	4.81906	5	0.0673851 0.00019532	0.182608 0.000266723	-0.213181 4.37054e-05	0.0141256 1.1029e-05	0.0428914 2.97796e-05	-0.0754992 5.78926e-05	
92.5	2.38727	3	0.0526976 6.25613e-05	0.153473 2.43231e-05	-0.192689 1.26527e-05	0.00693961 2.66904e-05	0.0245556 8.07154e-05	-0.0469687 0.000159611	
97.5	0.720932	2	0.0162167 9.39584e-08	0.0957422 1.33998e-06	-0.132913 1.97058e-06	0.0012681 2.19828e-09	0.00489903 9.29226e-09	-0.00909658 1.77425e-08	
