Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	979.269	409	1.3086 0.0504052
1.5	918.579	397.5	1.40387 0.0565404
2.5	880.474	387.5	1.41341 0.0516255
3.5	842.198	377	1.49358 0.0631302
4.5	806.481	366.5	1.5547 0.0604075
5.5	774.564	356	1.5992 0.0619099
6.5	743.558	345.5	1.80009 0.0717801
7.5	714.265	335	1.81674 0.075911
8.5	684.48	325	1.8655 0.0686264
9.5	658.155	315	1.97343 0.073722
10.5	632.29	305.5	2.08611 0.0772013
11.5	607.306	296	2.07703 0.072996
12.5	584.272	286.5	2.23503 0.0868031
13.5	561.544	277.5	2.44131 0.09823
14.5	539	269	2.3616 0.0910905
15.5	517.963	260.5	2.29201 0.0826439
16.5	498.106	252	2.25394 0.077456
17.5	478.395	244	2.50693 0.0938328
18.5	459.619	236	2.67719 0.0984305
19.5	441.689	228.5	2.44911 0.087889
20.5	423.89	221	2.56154 0.0976292
21.5	407.471	213.5	2.49361 0.100109
22.5	390.824	206.5	2.85175 0.088499
23.5	375.464	199.5	2.4756 0.0936905
24.5	359.203	192.5	2.72038 0.0996052
25.5	344.548	186	2.75379 0.108256
26.5	329.585	179.5	3.01956 0.104816
27.5	315.426	173	2.82974 0.110503
28.5	302.724	167	3.04242 0.109884
29.5	289.75	161	2.94787 0.0997268
30.5	277.78	155	2.68586 0.101491
31.5	266.114	149	3.05159 0.113708
32.5	253.691	143.5	2.91341 0.117695
33.5	242.462	138.5	3.02553 0.107601
34.5	231.762	133	2.89514 0.110799
35.5	220.969	127.5	2.86117 0.108102
36.5	210.595	122.5	2.96245 0.116364
37.5	201.215	118	2.72732 0.101431
38.5	191.991	113.5	2.91664 0.109212
39.5	182.685	108.5	3.06715 0.104129
40.5	173.413	104	3.05898 0.115207
41.5	165.118	100	2.64821 0.0994871
42.5	157.229	96	2.82789 0.106172
43.5	149.261	92	2.78509 0.106542
44.5	141.353	88	3.14348 0.123362
45.5	134.066	84	2.8076 0.111489
46.5	126.923	80	3.05465 0.105414
47.5	120.195	76.5	2.83903 0.105276
48.5	113.785	73	2.90188 0.098324
49.5	107.722	69.5	3.04248 0.109914
50.5	101.552	66.5	3.08498 0.115191
51.5	96.4137	63	2.93335 0.106655
52.5	90.5873	59.5	3.04415 0.116109
53.5	85.2983	56.5	3.12414 0.114222
54.5	80.3151	54	3.0056 0.105925
55.5	75.4403	51.5	3.20391 0.122772
56.5	70.8807	48.5	3.22995 0.125838
57.5	66.5108	46	3.22796 0.12647
58.5	62.3745	43.5	3.1103 0.124018
59.5	58.2482	41	3.27611 0.121995
60.5	54.6917	39	3.14927 0.119929
61.5	50.9261	36.5	3.23756 0.125317
62.5	47.5136	34	3.13285 0.119672
63.5	44.2994	32	3.24458 0.127351
64.5	41.3337	30	3.22357 0.129746
65.5	38.5048	28.5	3.37693 0.133816
66.5	35.738	27	3.33591 0.131289
67.5	32.9931	25	3.22488 0.14209
68.5	30.5698	23.5	3.61219 0.136823
69.5	28.3138	22	3.47672 0.146297
70.5	26.0575	20.5	3.69693 0.148522
71.5	24.0488	19	3.65868 0.165032
72.5	22.0539	17.5	3.45484 0.137534
73.5	20.2334	16.5	3.45138 0.139306
74.5	18.5239	15.5	3.81186 0.144938
75.5	16.9452	14.5	3.91157 0.182772
76.5	15.5021	13	3.36864 0.1418
77.5	14.0899	12	3.8723 0.177239
78.5	12.8504	11.5	3.52943 0.157777
79.5	11.6198	10.5	3.78396 0.185921
80.5	10.4614	9.5	3.56235 0.157959
81.5	9.4889	8.5	3.97873 0.176957
82.5	8.51833	8	3.882 0.171909
83.5	7.61914	7.5	4.62077 0.219275
84.5	6.84771	6.5	4.39619 0.204768
85.5	6.13054	6	4.39138 0.194992
86.5	5.44348	5.5	4.35729 0.220715
87.5	4.80346	5	5.01968 0.266746
88.5	4.23062	4.5	5.23246 0.310303
89.5	3.69405	4	4.61296 0.247686
90.5	3.23133	4	5.77653 0.349271
91.5	2.76408	3.5	6.49512 0.405722
92.5	2.36036	3	6.5205 0.407818
93.5	1.96645	2.5	7.45752 0.566837
94.5	1.62238	2	8.60365 0.749748
95.5	1.3021	2	10.3395 0.952476
96.5	0.998009	2	13.2836 1.22614
97.5	0.711541	2	12.713 1.85287
98.5	0.416553	2	31.733 4.375
99.5	0.154367	0	16.2223 4.15384
