Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
2.5	885.42	388.5	2.39781e-14 1.85002e-14	2.37016e-11 2.33064e-11	2.557e-12 3.61334e-12	-6.60456e-14 8.50972e-14	7.4902e-16 1.24511e-15	4.52006e-17 3.18351e-17	
7.5	713.966	335.5	1.27797e-13 6.08282e-14	9.75187e-10 2.01855e-10	-2.80862e-12 7.06649e-12	2.75494e-13 2.12845e-13	4.64311e-15 2.59973e-15	8.39873e-17 8.86004e-17	
12.5	585.542	287.5	1.96217e-13 1.07349e-13	1.26843e-08 1.38471e-09	7.8877e-13 1.0659e-11	2.01019e-13 3.3468e-13	8.58789e-15 4.48474e-15	1.2768e-16 1.43519e-16	
17.5	479.277	245	3.02679e-12 2.16298e-12	4.17677e-08 3.46004e-09	-1.26219e-12 1.45103e-11	1.05118e-12 5.3075e-13	2.0968e-14 7.75759e-15	5.96389e-17 2.3856e-16	
22.5	391.294	207	1.34473e-11 1.11188e-11	1.17516e-07 1.19957e-08	1.04416e-09 1.02292e-09	5.57562e-10 5.56837e-10	4.22917e-10 4.22895e-10	2.48809e-13 2.47686e-13	
27.5	316.098	173.5	2.80584e-12 1.07237e-12	2.1615e-07 1.66012e-08	3.82508e-11 2.10934e-11	2.6758e-12 1.13338e-12	3.57359e-15 1.6533e-14	8.01229e-16 1.0167e-15	
32.5	254.327	144	1.4547e-12 6.59924e-13	3.37699e-07 2.59717e-08	1.94888e-11 6.97573e-11	2.43327e-12 4.24955e-12	8.6261e-11 8.6276e-11	1.46859e-10 1.46856e-10	
37.5	201.449	118	9.10938e-11 7.64772e-11	3.92725e-07 3.01986e-08	2.627e-11 4.08082e-11	4.90634e-13 1.57793e-12	1.01888e-12 1.03398e-12	1.55543e-12 1.55233e-12	
42.5	157.426	96	5.47845e-12 2.14514e-12	3.74989e-07 3.34372e-08	-7.95111e-11 4.91614e-11	3.61946e-12 5.85653e-12	8.375e-14 6.38473e-14	8.2242e-15 7.58633e-15	
47.5	120.643	77	1.07601e-11 3.50235e-12	4.60061e-07 4.2248e-08	1.20304e-11 5.20857e-11	-2.93595e-12 2.17509e-12	5.13958e-14 5.46956e-14	-8.21479e-16 1.87815e-15	
52.5	90.4899	60.5	2.32897e-11 8.72187e-12	4.51039e-07 4.55299e-08	2.56948e-11 4.71711e-11	-5.35133e-12 2.65374e-12	-4.18597e-14 4.52753e-14	-9.20521e-16 1.44787e-15	
57.5	66.5408	46.5	5.26542e-11 2.1831e-11	4.17325e-07 4.92826e-08	6.18904e-11 5.21246e-11	-8.58464e-12 3.13544e-12	-4.30524e-14 4.00809e-14	2.35216e-15 3.25394e-15	
62.5	47.6655	34.5	1.53984e-10 4.91951e-11	2.61142e-07 3.9626e-08	5.01877e-11 3.34166e-11	9.32696e-14 4.44691e-12	-4.96754e-15 3.56654e-14	9.32653e-15 3.80693e-15	
67.5	33.1509	25	5.71775e-09 2.92867e-09	2.12909e-07 3.43192e-08	-5.59968e-11 1.95914e-11	-1.42569e-11 2.49513e-12	-3.24909e-14 2.07908e-14	-1.91855e-16 1.73562e-15	
72.5	21.552	18	5.09782e-09 1.55161e-09	9.00878e-08 2.41324e-08	-6.23291e-13 1.63145e-11	-6.28537e-12 3.04461e-12	-2.68221e-14 1.00338e-14	4.69186e-15 2.02501e-15	
77.5	14.0873	12.5	6.18748e-09 1.70006e-09	-4.41772e-08 1.04303e-08	-3.6876e-11 6.90468e-12	-5.81627e-12 8.7492e-13	-2.2711e-14 4.6985e-15	5.38655e-16 3.71652e-16	
82.5	8.49706	8	2.42673e-09 7.69485e-10	-4.32601e-08 4.72517e-09	-4.00753e-12 1.89667e-12	-8.57716e-13 2.75624e-13	-2.71456e-15 7.57013e-16	9.27699e-17 3.44743e-17	
87.5	4.81906	5	2.97026e-10 9.23883e-11	-5.91464e-09 2.30803e-09	-3.96151e-13 2.25139e-13	1.30885e-13 4.27349e-14	-3.49041e-17 4.11209e-17	2.21374e-18 1.04616e-18	
92.5	2.38727	3	8.53098e-12 2.00121e-12	5.5199e-10 3.2261e-10	3.30976e-14 9.65138e-15	3.1822e-15 9.48891e-16	1.46621e-18 4.94612e-19	8.22837e-20 2.35038e-20	
97.5	0.720932	2	3.3754e-19 2.39032e-19	4.21495e-11 2.61874e-11	4.6126e-18 2.74548e-18	7.14603e-22 6.86436e-22	3.0361e-23 1.55315e-23	2.78563e-23 2.50398e-23	
