Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	979.269	409	0.586827 0.0995104	-0.316055 0.624665	0.246073 0.984103	
1.5	918.579	397.5	0.488439 0.237949	-0.554296 0.16234	0.408129 0.304372	
2.5	880.474	387.5	0.676981 0.056538	-0.627788 0.205191	0.517808 0.144305	
3.5	842.198	377	0.596309 0.0995152	-0.49483 0.231706	-0.498499 0.511194	
4.5	806.481	366.5	0.672861 0.0684961	0.435512 0.257986	0.599333 0.0942751	
5.5	774.564	356	0.549908 0.110065	0.261425 1.05994	0.600302 0.0837894	
6.5	743.558	345.5	0.719994 0.0564213	0.338222 0.611635	0.561509 0.122907	
7.5	714.265	335	0.750431 0.0407637	-0.510867 0.155802	0.69006 0.0538155	
8.5	684.48	325	0.729758 0.0466942	-0.390868 0.367415	0.685628 0.0545178	
9.5	658.155	315	0.812646 0.021654	-0.523423 0.297957	0.611195 0.0847934	
10.5	632.29	305.5	0.797469 0.0243851	0.690496 0.0601861	-0.576261 0.268238	
11.5	607.306	296	0.826055 0.021032	0.534332 0.128861	0.289645 1.22257	
12.5	584.272	286.5	0.837292 0.0195567	-0.697273 0.138353	0.6713 0.0587288	
13.5	561.544	277.5	0.843036 0.0177199	0.58184 0.111271	0.651612 0.0639278	
14.5	539	269	0.864221 0.0148658	0.493026 0.180245	0.594872 0.110449	
15.5	517.963	260.5	0.848815 0.0181123	0.467172 0.23887	0.592971 0.0912496	
16.5	498.106	252	0.857641 0.0156645	0.664293 0.054468	0.610289 0.100107	
17.5	478.395	244	0.833378 0.0177432	-0.335498 0.556448	-0.432331 0.49013	
18.5	459.619	236	0.867421 0.0153123	-0.583345 0.238865	-0.577619 0.442778	
19.5	441.689	228.5	0.841614 0.0185364	0.568885 0.118878	0.637222 0.076608	
20.5	423.89	221	0.830364 0.0174781	0.536884 0.144875	0.664892 0.0585153	
21.5	407.471	213.5	0.804212 0.0824996	-1.05964 0.465604	-1.60207 1.08676	
22.5	390.824	206.5	0.869724 0.0187045	0.60647 0.0866658	0.505025 0.184803	
23.5	375.464	199.5	0.867258 0.013624	-0.339041 0.568103	0.604235 0.0946264	
24.5	359.203	192.5	0.879833 0.0111968	0.403572 0.330325	0.602611 0.093606	
25.5	344.548	186	0.860791 0.0146754	-0.285485 1.08273	0.682459 0.0681252	
26.5	329.585	179.5	0.858149 0.0196482	0.628294 0.0899872	-0.543214 0.347808	
27.5	315.426	173	0.847766 0.0182256	0.326562 0.648772	0.628584 0.0744899	
28.5	302.724	167	0.885985 0.0111659	-0.201348 1.23539	-0.414389 0.370814	
29.5	289.75	161	0.897454 0.0104101	0.643967 0.0757198	0.548843 0.143697	
30.5	277.78	155	0.874329 0.0154724	-0.598569 0.139338	-0.660348 0.0844704	
31.5	266.114	149	0.901207 0.00924984	-0.49738 0.219873	-0.32735 0.654147	
32.5	253.691	143.5	0.872706 0.0134314	-0.432885 0.43288	-0.578146 0.166788	
33.5	242.462	138.5	0.871373 0.0135977	0.669871 0.0560027	0.550925 0.133936	
34.5	231.762	133	0.8363 0.0190685	0.608957 0.0787301	-0.582683 0.148035	
35.5	220.969	127.5	0.872958 0.0122092	-0.509368 0.377005	0.547686 0.137624	
36.5	210.595	122.5	0.8711 0.0136606	-0.485236 0.254532	-0.454365 0.416035	
37.5	201.215	118	0.870607 0.0143756	0.424724 0.299812	0.642373 0.0668869	
38.5	191.991	113.5	0.866207 0.0140699	0.493164 0.193932	0.548824 0.145177	
39.5	182.685	108.5	0.877178 0.0120992	0.658995 0.0610961	-0.603123 0.137124	
40.5	173.413	104	0.856638 0.015212	-0.450374 0.419703	-0.41304 0.340298	
41.5	165.118	100	0.829955 0.0195313	0.350726 0.49699	0.665415 0.0547052	
42.5	157.229	96	0.838356 0.0225505	0.607285 0.088798	-0.510309 0.206757	
43.5	149.261	92	0.834639 0.0219869	-0.373814 0.373247	-0.494858 0.406825	
44.5	141.353	88	0.857972 0.0148335	-0.34351 0.570346	-0.746728 0.323936	
45.5	134.066	84	0.822145 0.0210371	-0.257982 1.13538	-0.403971 0.379875	
46.5	126.923	80	0.856864 0.0142406	0.575925 0.0937497	-0.545176 0.202233	
47.5	120.195	76.5	0.851571 0.0148829	0.59697 0.0973758	-0.467167 0.254505	
48.5	113.785	73	0.855856 0.0152235	0.715153 0.044864	-0.382309 0.424612	
49.5	107.722	69.5	0.86603 0.0137826	0.527828 0.152021	0.463789 0.221755	
50.5	101.552	66.5	0.854339 0.0141578	0.62107 0.075087	-0.48744 0.3636	
51.5	96.4137	63	0.820625 0.0199032	0.72144 0.0396757	-0.573457 0.173829	
52.5	90.5873	59.5	0.822211 0.0204813	0.627895 0.0853344	-0.707768 0.0908055	
53.5	85.2983	56.5	0.83446 0.0165738	0.607669 0.0821131	-0.684231 0.134443	
54.5	80.3151	54	0.848463 0.0152853	0.58448 0.0852443	-0.542906 0.244725	
55.5	75.4403	51.5	0.83132 0.0208476	0.649317 0.0689069	-0.631903 0.114717	
56.5	70.8807	48.5	0.822244 0.0199276	0.493451 0.21704	-0.654347 0.123984	
57.5	66.5108	46	0.800126 0.0231058	0.653289 0.068012	-0.613553 0.118418	
58.5	62.3745	43.5	0.819303 0.0199993	0.480461 0.17797	-0.614109 0.254413	
59.5	58.2482	41	0.829457 0.0202435	0.590504 0.0988418	-0.628973 0.15766	
60.5	54.6917	39	0.807637 0.0210234	0.515945 0.149212	-0.407258 0.380742	
61.5	50.9261	36.5	0.78954 0.027088	0.685016 0.0478222	-0.66175 0.0959741	
62.5	47.5136	34	0.792601 0.023711	0.720954 0.0400882	-0.776477 0.0967698	
63.5	44.2994	32	0.76259 0.0334068	0.671063 0.0557623	-0.825997 0.140417	
64.5	41.3337	30	0.670505 0.060798	0.669206 0.0535065	-0.928194 0.0737756	
65.5	38.5048	28.5	0.796336 0.0229362	0.368411 0.375518	-0.588023 0.109546	
66.5	35.738	27	0.794799 0.0244709	0.589963 0.0922851	-0.782793 0.0692728	
67.5	32.9931	25	0.771952 0.0293002	-0.425983 0.268974	-0.774652 0.0676101	
68.5	30.5698	23.5	0.800563 0.0228075	0.46359 0.22584	-0.606293 0.119015	
69.5	28.3138	22	0.755032 0.032976	0.261938 1.07351	-0.756146 0.0780459	
70.5	26.0575	20.5	0.782824 0.0299213	0.648561 0.0698836	-0.827884 0.088546	
71.5	24.0488	19	0.801987 0.0247939	-0.620505 0.412511	-0.82511 0.0942964	
72.5	22.0539	17.5	0.664345 0.0608395	-0.592852 0.272161	-0.85791 0.11347	
73.5	20.2334	16.5	0.712186 0.0415796	-0.376305 0.415491	-0.806075 0.0608419	
74.5	18.5239	15.5	0.682246 0.0504692	-0.459595 0.24532	-0.803169 0.0806001	
