Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	979.269	409	0.00530555 0.000159368	 0.0245149 0.000653333	 0.0187337 0.000534623	 0.0115121 0.000326228	 0.00584821 0.000156253	 0.00317804 9.39198e-05	 
1.5	918.579	397.5	0.00526259 0.0001907	 0.0265779 0.0007647	 0.0189319 0.000586548	 0.0122909 0.000358849	 0.00577899 0.000160649	 0.00310114 8.43835e-05	 
2.5	880.474	387.5	0.00560586 0.000150375	 0.0294243 0.000721686	 0.0208179 0.000618184	 0.0122929 0.000326867	 0.00611449 0.000162186	 0.00318529 7.75996e-05	 
3.5	842.198	377	0.00595016 0.00025718	 0.0322229 0.000883914	 0.0215743 0.000652631	 0.0118978 0.000360039	 0.00618101 0.000170127	 0.00334468 0.000102047	 
4.5	806.481	366.5	0.00611876 0.000230169	 0.0350748 0.000906953	 0.0225605 0.000642537	 0.013055 0.000353374	 0.0063838 0.000179242	 0.00349913 9.54522e-05	 
5.5	774.564	356	0.00656211 0.000284562	 0.0377644 0.00102833	 0.0236146 0.000673251	 0.0133062 0.000354605	 0.00689904 0.000173047	 0.00343525 9.74935e-05	 
6.5	743.558	345.5	0.00641131 0.00024777	 0.0423515 0.00111169	 0.0235274 0.000717984	 0.0136713 0.000398355	 0.00663089 0.000178987	 0.00367434 0.000110432	 
7.5	714.265	335	0.00707565 0.000336545	 0.0444742 0.00110734	 0.0244802 0.000763134	 0.0144957 0.00038404	 0.00666439 0.000195017	 0.00387895 0.000120426	 
8.5	684.48	325	0.00646091 0.000220449	 0.046566 0.00110982	 0.0249617 0.000711111	 0.0149551 0.00037166	 0.0072215 0.000183236	 0.00372566 0.000101999	 
9.5	658.155	315	0.00738437 0.000300624	 0.0486212 0.00103922	 0.024638 0.000728141	 0.0143775 0.0003798	 0.00684713 0.000194215	 0.00383836 0.000116664	 
10.5	632.29	305.5	0.00711887 0.00026942	 0.0533702 0.00126594	 0.0255836 0.000691621	 0.014696 0.000476755	 0.00715628 0.000204043	 0.00381172 0.000106985	 
11.5	607.306	296	0.00741926 0.000261006	 0.055592 0.0012065	 0.0267651 0.000761971	 0.014753 0.000436923	 0.00743339 0.000188372	 0.00395763 0.000128229	 
12.5	584.272	286.5	0.00759941 0.000263216	 0.0585994 0.00122989	 0.0262186 0.000859571	 0.015737 0.000413621	 0.00758027 0.00022214	 0.00416212 0.000122003	 
13.5	561.544	277.5	0.00812562 0.000371094	 0.0628293 0.00137659	 0.0257359 0.000755016	 0.0151928 0.000428689	 0.00730999 0.00022703	 0.00410645 0.000132297	 
14.5	539	269	0.007822 0.000426239	 0.0652504 0.0013514	 0.0276298 0.000835549	 0.0156249 0.000455652	 0.00772396 0.000224928	 0.00405537 0.00011873	 
