Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	243.395	77.5	0.0187857 0.00099006	 0.05378 0.00151072	 0.0342278 0.00109292	 0.0158278 0.00050926	 0.00756757 0.000212134	 0.00421172 0.000143549	 
1.5	216.681	74	0.0180041 0.000953954	 0.0527337 0.00161281	 0.0339844 0.000951484	 0.0154297 0.000427277	 0.00714071 0.000244212	 0.00405177 0.000121309	 
2.5	204.763	72.5	0.015522 0.000753471	 0.0527945 0.00160637	 0.0339047 0.00102157	 0.0148621 0.000436776	 0.00709891 0.000194516	 0.00407026 0.000152671	 
3.5	195.218	71	0.0170545 0.000871727	 0.0535988 0.00153042	 0.0334137 0.00102299	 0.0152698 0.000455679	 0.00677413 0.00020468	 0.00409225 0.000156808	 
4.5	185.493	69	0.016834 0.000956381	 0.0538436 0.00160212	 0.0343992 0.000952453	 0.0147966 0.000392998	 0.00692543 0.000206052	 0.0038082 0.000141569	 
5.5	181.632	67.5	0.0172626 0.000791992	 0.0576706 0.00184327	 0.0340258 0.00103162	 0.0153502 0.000419941	 0.0068641 0.000230224	 0.00392595 0.00013029	 
6.5	173.921	66	0.0189322 0.000990576	 0.057539 0.0018946	 0.0337454 0.00098168	 0.0152801 0.000450558	 0.00665939 0.000212201	 0.00411875 0.00016717	 
7.5	168.126	64.5	0.0181995 0.000823188	 0.0603823 0.00190854	 0.0337416 0.00105882	 0.0159132 0.000444778	 0.00724523 0.000265892	 0.00415758 0.000141988	 
8.5	163.401	63	0.021057 0.00101435	 0.0596732 0.00162445	 0.0344651 0.000932345	 0.014952 0.000478148	 0.00737993 0.000218682	 0.00406799 0.000148619	 
9.5	156.22	61	0.0175895 0.000929487	 0.0613945 0.00169147	 0.0345966 0.0009809	 0.0148928 0.000444317	 0.00699018 0.00024623	 0.00391521 0.000125855	 
10.5	153.381	59.5	0.0204623 0.00112982	 0.0614713 0.0015383	 0.0349137 0.000914648	 0.0148286 0.000387593	 0.00716592 0.00019937	 0.00393264 0.000127062	 
11.5	146.86	58	0.0195964 0.00101528	 0.0635931 0.00192949	 0.0360908 0.000900072	 0.0143142 0.000385251	 0.00721003 0.000221797	 0.00391797 0.000139093	 
12.5	140.439	56.5	0.0216849 0.00117442	 0.0611001 0.00175794	 0.0348634 0.000941979	 0.0148994 0.000461891	 0.00747753 0.000258777	 0.00387786 0.000138769	 
13.5	135.711	55	0.0205272 0.00108119	 0.0629516 0.00182095	 0.0352724 0.00096444	 0.0142645 0.00043573	 0.00738151 0.000245773	 0.00395464 0.000155119	 
14.5	130.368	53.5	0.0186805 0.00103737	 0.0658898 0.00175273	 0.0317698 0.000824274	 0.0149388 0.000402047	 0.00722938 0.00021291	 0.00378138 0.000115107	 
15.5	126.435	52	0.0195561 0.000855371	 0.0695371 0.00210527	 0.0343332 0.00113104	 0.0145906 0.000488397	 0.00659233 0.000207333	 0.00416872 0.000144271	 
16.5	122.468	50.5	0.0217946 0.00131493	 0.0700085 0.00212726	 0.0347989 0.000939466	 0.0154065 0.000506838	 0.00746354 0.000240028	 0.0041426 0.000176437	 
17.5	117.45	49	0.0200454 0.00101184	 0.0680663 0.00226443	 0.0343361 0.0010038	 0.0150026 0.000499407	 0.00738819 0.000261291	 0.00402295 0.00014979	 
18.5	113.412	47.5	0.0199684 0.00108307	 0.0716166 0.00219295	 0.0340307 0.00096427	 0.0152054 0.000508437	 0.00742194 0.000263145	 0.00383234 0.000131006	 
19.5	109.92	46.5	0.0207376 0.00099266	 0.0693062 0.00205901	 0.0350071 0.00103639	 0.0150786 0.000532346	 0.00755938 0.000265304	 0.00398124 0.000141398	 
20.5	105.395	45	0.021614 0.00100766	 0.072588 0.00209302	 0.0350392 0.000948859	 0.0151783 0.000477188	 0.0073552 0.000227322	 0.00406764 0.000155835	 
21.5	101.313	43.5	0.0206253 0.00115723	 0.0685222 0.00192775	 0.0327722 0.00104578	 0.0144436 0.000468758	 0.00709317 0.000216019	 0.00377927 0.000116948	 
22.5	98.3867	42.5	0.0214006 0.00110294	 0.071336 0.00179473	 0.0341174 0.000843413	 0.0138906 0.000500125	 0.00734327 0.000215897	 0.00403488 0.000153061	 
23.5	95.5188	41	0.0217405 0.00098704	 0.0760321 0.00207804	 0.0328305 0.000822283	 0.0153701 0.000508255	 0.00743816 0.000246287	 0.00404253 0.000128817	 
24.5	91.6415	39.5	0.0212166 0.001327	 0.0711374 0.00212988	 0.0337212 0.000915596	 0.0144598 0.000430004	 0.00718796 0.000236368	 0.00378948 0.000142771	 
25.5	87.5398	38.5	0.0234078 0.00117105	 0.076252 0.00206412	 0.031969 0.000876671	 0.0155455 0.000491757	 0.00716216 0.000216378	 0.00377403 0.000123945	 
26.5	84.6635	37.5	0.023451 0.00131977	 0.0801455 0.00195643	 0.0318921 0.000787183	 0.0152934 0.00047177	 0.00720155 0.000266088	 0.00405264 0.000197167	 
27.5	80.6609	36.5	0.0210397 0.00102493	 0.0759786 0.00226229	 0.0334941 0.00099913	 0.0144226 0.000535889	 0.00724584 0.000223564	 0.00394598 0.000149436	 
28.5	78.3433	35.5	0.02187 0.000991424	 0.0769139 0.00190504	 0.0306798 0.000812179	 0.0143034 0.000448471	 0.00693832 0.000217814	 0.00363614 0.000126919	 
29.5	75.2744	34	0.0238397 0.00126908	 0.0812148 0.00222757	 0.0325048 0.000931547	 0.0160459 0.000583723	 0.00752994 0.000219001	 0.00420727 0.000201749	 
30.5	73.3791	32.5	0.0234968 0.00119666	 0.0787404 0.00200996	 0.0310078 0.000874279	 0.0159841 0.000552251	 0.00725499 0.000214976	 0.00406795 0.000168984	 
31.5	70.0113	31.5	0.0223566 0.00114954	 0.0741926 0.00178591	 0.0309929 0.00084503	 0.0143975 0.000459543	 0.00695158 0.000215605	 0.00374214 0.000132288	 
32.5	67.2941	30.5	0.0240367 0.00134641	 0.0789582 0.00216126	 0.0293349 0.0008247	 0.0150792 0.000528301	 0.00697298 0.000229609	 0.00380294 0.00016593	 
33.5	64.4857	29.5	0.0222729 0.00103132	 0.0794356 0.00205758	 0.0284698 0.000808283	 0.0153428 0.000476918	 0.00676725 0.000209244	 0.00356472 0.000132489	 
34.5	62.3203	28.5	0.0233176 0.00106605	 0.0802138 0.00191231	 0.0289615 0.000721015	 0.0151317 0.000488241	 0.0070673 0.000229977	 0.00355954 0.000133052	 
35.5	59.8953	27.5	0.0223041 0.000998953	 0.0792562 0.00199962	 0.0282709 0.000857326	 0.0147401 0.000523135	 0.00664977 0.000188146	 0.00355605 0.000132068	 
36.5	57.0291	26.5	0.0227957 0.00120618	 0.0825767 0.00198971	 0.0276599 0.000743714	 0.0157543 0.000532137	 0.00687199 0.000187121	 0.00390467 0.000139934	 
37.5	54.3925	26	0.0227625 0.0010529	 0.0850131 0.00196577	 0.0271753 0.000670877	 0.0166419 0.000538367	 0.0065374 0.000168946	 0.00384933 0.000159677	 
38.5	52.8243	25.5	0.023435 0.00108	 0.0773747 0.00191067	 0.0260728 0.000723954	 0.0144366 0.000492633	 0.00631591 0.000196987	 0.00345737 0.000130571	 
39.5	52.124	24.5	0.0217963 0.00090734	 0.0812062 0.00228794	 0.0242914 0.000736314	 0.0158809 0.000582866	 0.00614751 0.00021044	 0.00359992 0.000147474	 
40.5	49.3724	23.5	0.0223472 0.00115158	 0.0792346 0.00208995	 0.026301 0.000744079	 0.0152897 0.000525598	 0.00600038 0.000195751	 0.00375437 0.000161815	 
41.5	47.3815	22.5	0.0241214 0.00113237	 0.0807495 0.00208886	 0.023807 0.000680544	 0.0151019 0.000618509	 0.00599534 0.000186501	 0.00356437 0.000160383	 
42.5	44.917	21.5	0.023888 0.0010235	 0.0780781 0.00187138	 0.0243655 0.00071069	 0.0142488 0.000512545	 0.006071 0.000198723	 0.00339356 0.000128359	 
43.5	42.7305	21	0.0202891 0.000884068	 0.0830405 0.00229058	 0.0237747 0.000742781	 0.015254 0.000570617	 0.00598159 0.000190007	 0.00319735 0.000129764	 
44.5	41.8764	20.5	0.0238056 0.00119751	 0.0797504 0.00203535	 0.022357 0.000682392	 0.0148642 0.000563101	 0.00586185 0.000174133	 0.00358759 0.000151137	 
45.5	39.1724	19.5	0.0210535 0.000861178	 0.0806235 0.00193519	 0.0220759 0.000638808	 0.0145244 0.000484221	 0.00565867 0.000189072	 0.00332471 0.000128954	 
46.5	37.8848	18.5	0.020009 0.000846715	 0.08143 0.00208802	 0.0204328 0.000582046	 0.014519 0.000544066	 0.00550456 0.000170987	 0.00312131 0.000108977	 
47.5	36.3526	18	0.0208307 0.000970087	 0.0773737 0.00203707	 0.0203258 0.000682283	 0.0139536 0.000555371	 0.00510509 0.000180567	 0.00297766 0.000120596	 
48.5	34.9574	17.5	0.0212815 0.000949602	 0.0810933 0.00202448	 0.0214459 0.00064144	 0.0156289 0.000505245	 0.0053822 0.000151452	 0.00356416 0.000139436	 
49.5	33.4259	16.5	0.0177509 0.00083742	 0.0732287 0.00200631	 0.020248 0.000669519	 0.0130717 0.000493553	 0.00493803 0.000173691	 0.00283311 0.000109249	 
50.5	32.0935	16	0.020963 0.000951299	 0.077234 0.0019491	 0.0196136 0.000601528	 0.0140044 0.000470508	 0.00516698 0.000186706	 0.00296623 0.000125494	 
