Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	188.713	70	-1.89703e-07 2.12062e-08	2.56004e-07 3.67261e-07	1.01158e-07 4.19063e-08	4.24066e-09 1.71193e-09	-2.06517e-10 1.43559e-10	-9.34558e-11 1.98988e-11	
15	130.174	53	-3.35581e-07 4.7422e-08	1.1474e-06 6.16108e-07	2.54038e-07 3.88124e-08	-6.85697e-10 2.02705e-09	-3.57442e-10 1.29255e-10	-8.98664e-11 2.13545e-11	
25	89.7637	39.5	-4.58159e-07 5.806e-08	5.84674e-06 8.76882e-07	2.22006e-07 3.28943e-08	-9.67501e-09 2.7434e-09	-2.43783e-10 1.28716e-10	-1.57368e-10 4.51488e-11	
35	61.2493	28.5	-4.70842e-07 4.95269e-08	1.06518e-05 9.71663e-07	5.54223e-08 1.73331e-08	-1.82432e-08 2.46677e-09	-1.70617e-10 1.01381e-10	-1.45763e-10 2.03247e-11	
45	40.827	20	-3.37959e-07 3.36712e-08	9.40238e-06 9.80766e-07	-2.0414e-08 9.00307e-09	-2.56542e-08 3.0126e-09	-2.20751e-10 5.00775e-11	-1.21456e-10 1.66736e-11	
55	25.9426	13.5	-1.39815e-07 1.65818e-08	4.23778e-06 7.65835e-07	-2.8464e-08 4.32848e-09	-1.74792e-08 1.38595e-09	-1.75056e-10 2.51042e-11	-4.72044e-11 4.59536e-12	
65	15.4761	9	-5.6139e-08 5.13814e-09	-4.73298e-06 3.6785e-07	-1.61895e-08 1.66185e-09	-1.19468e-08 8.7713e-10	-7.80088e-11 7.32395e-12	-1.40613e-11 1.43987e-12	
75	8.19307	5.5	-3.85108e-08 4.24806e-09	-4.11286e-06 1.85734e-07	-5.84564e-09 4.15132e-10	-2.11659e-09 1.73643e-10	-1.42067e-11 2.42439e-12	-1.83014e-12 4.37368e-13	
85	3.63079	3	-7.20897e-09 8.73552e-10	-1.13007e-06 7.45824e-08	-6.70835e-10 8.63267e-11	-4.40445e-11 5.89704e-12	-1.90765e-13 5.24294e-14	-9.01486e-14 9.31037e-15	
95	0.973276	2	-4.04982e-11 6.29694e-12	-6.8983e-08 8.23773e-09	-1.19796e-12 1.90941e-13	-3.35792e-15 1.05465e-15	-1.5339e-16 2.03688e-17	-3.23805e-16 7.81673e-17	
