Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	209.086	74	0.212945 4.18992e-06	0.212099 1.41856e-05	0.00867925 0.000102555	0.131437 1.05429e-06	0.135335 2.7064e-06	-0.034991 1.44991e-05	
7.5	168.417	64	0.203324 9.74445e-06	0.197559 5.92239e-05	0.0421149 0.000842071	0.116354 8.69947e-06	0.118165 2.87125e-05	-0.0139926 0.000125167	
12.5	141.349	56.5	0.194922 2.66838e-06	0.190593 0.00199529	0.0269285 0.00881931	0.107961 2.32003e-06	0.114476 0.000316248	-0.0438938 0.00220316	
17.5	118.006	49.5	0.187918 5.19184e-06	0.171269 0.000636655	0.0793413 0.00327312	0.0986242 2.50859e-05	0.100038 8.77373e-05	-0.00791961 0.0005297	
22.5	98.3196	42.5	0.176905 5.73115e-06	0.164869 2.6951e-05	0.0503213 8.60837e-05	0.0876758 5.2607e-05	0.0959369 0.000146433	-0.0422532 0.00121699	
27.5	81.3579	36	0.17103 1.6363e-05	0.159058 7.62375e-05	0.0412253 0.000128495	0.0791473 1.26298e-05	0.085493 3.24371e-05	-0.030301 3.26417e-05	
32.5	67.3962	30.5	0.162177 1.33092e-05	0.143917 0.000337452	0.0600432 0.00143588	0.0697224 1.25537e-05	0.0773245 7.24775e-05	-0.0349761 0.00042049	
37.5	55.3185	26	0.153293 3.80925e-05	0.138985 0.000488372	0.0399526 0.00151484	0.0590514 5.6905e-05	0.0700517 0.000462301	-0.0477176 0.00137502	
42.5	45.2326	22	0.143975 2.65892e-05	0.131883 0.00165481	0.0315327 0.0033412	0.0512511 6.34597e-07	0.0607518 2.83689e-07	-0.0412418 1.31155e-06	
47.5	36.4731	18	0.130644 0.000110762	0.124127 0.00410441	0.0157994 0.00625902	0.0404556 1.38883e-06	0.0514462 9.44678e-06	-0.0447297 3.2732e-05	
52.5	29.009	14.5	0.119881 2.23241e-05	0.1243 3.39933e-05	-0.0102152 0.000138235	0.0340501 1.02294e-06	0.0468489 8.17393e-06	-0.0494631 2.59214e-05	
57.5	22.6382	12	0.104756 5.4267e-06	0.127421 4.22309e-05	-0.0506597 8.27164e-05	0.0263917 5.53582e-05	0.0425021 0.000202679	-0.0595367 0.000821316	
62.5	17.6488	10	0.087124 7.75447e-05	0.11566 8.40822e-05	-0.0634705 0.000143169	0.0215344 5.75948e-06	0.0376776 5.35033e-07	-0.0574069 2.18866e-05	
67.5	13.2292	8	0.0733356 1.41577e-05	0.114517 0.000131846	-0.0897815 0.000311571	0.0177615 1.55409e-07	0.0347308 1.36407e-05	-0.0610544 3.97409e-05	
72.5	9.61075	6	0.0630429 8.02258e-06	0.115003 1.90151e-05	-0.111558 2.95041e-05	0.0142113 4.08845e-06	0.0305224 9.97084e-07	-0.0531049 7.38838e-07	
77.5	6.74343	4.5	0.0581736 7.21208e-07	0.113262 5.58687e-06	-0.120338 9.86299e-06	0.0108014 1.86654e-07	0.0256781 7.99461e-07	-0.0502365 1.88955e-06	
82.5	4.51223	3.5	0.0479537 5.159e-05	0.109751 1.60684e-05	-0.135205 9.9715e-05	0.00771599 3.42274e-05	0.0207216 6.78601e-05	-0.0401363 0.000124923	
87.5	2.76352	2.5	0.037465 2.42916e-09	0.105136 2.78657e-08	-0.143489 4.57176e-08	0.00477303 1.00294e-11	0.0131248 3.28532e-11	-0.0282622 7.63908e-11	
92.5	1.43154	2	0.0344943 3.7035e-09	0.0874734 2.86479e-08	-0.128171 5.01577e-08	0.00181718 6.32574e-11	0.0045439 1.69678e-10	-0.00871963 3.39704e-10	
97.5	0.419767	2	0.0108591 1.89872e-07	0.0293247 1.47887e-06	-0.0466139 2.51102e-06	-0.000551853 2.1749e-11	-0.00156051 7.75857e-11	0.00297285 1.53491e-10	
