Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
2.5	1211.06	388.5	0.260831 2.57175e-06	0.264517 1.48976e-05	-0.199496 0.00153361	0.204191 6.19442e-06	0.205392 8.3471e-06	-0.0595792 0.0012111	
7.5	779.431	335.5	0.239675 3.82121e-05	0.237781 0.000266873	0.0333234 0.006472	0.179093 4.49071e-05	0.177234 7.14808e-05	0.0484002 0.0052633	
12.5	656.933	287.5	0.236675 2.86673e-05	0.229555 0.00896087	0.0781637 0.0444552	0.172548 1.16065e-05	0.177446 2.91517e-05	-0.100286 0.000202106	
17.5	543.237	245	0.232337 2.88733e-05	0.222461 0.00012804	0.0805901 0.000594244	0.159213 8.50362e-06	0.159812 4.46084e-05	-0.0105091 0.00131507	
22.5	450.429	207	0.226927 4.90215e-06	0.210455 0.000810172	0.103939 0.00524471	0.151757 2.06665e-05	0.153525 5.22431e-05	-0.0237666 0.000298903	
27.5	366.534	173.5	0.220618 1.15509e-06	0.200679 0.000293122	0.101371 0.00224885	0.13764 1.06604e-05	0.142062 0.000126186	-0.0504815 0.00187298	
32.5	298.646	144	0.214649 8.0682e-06	0.190873 6.09476e-05	0.101925 0.000208719	0.131199 2.72475e-05	0.132932 3.10709e-05	-0.0169622 0.000337968	
37.5	237.734	118	0.209025 2.88934e-05	0.179663 0.000413688	0.108071 0.00191574	0.119635 1.8088e-05	0.121211 0.000459222	-0.0123137 0.00302686	
42.5	189.772	96	0.197504 1.86437e-05	0.166043 0.000121392	0.104764 0.000658135	0.104393 1.91879e-05	0.108862 0.00101179	-0.0281962 0.00411174	
47.5	151.02	77	0.190172 1.75537e-05	0.150383 0.000342057	0.119727 0.00151929	0.0963265 1.7355e-05	0.100952 0.000275799	-0.0253673 0.00159346	
52.5	120.94	60.5	0.171807 2.59122e-05	0.140844 0.000413454	0.0840838 0.00195656	0.0779129 2.39572e-05	0.0835106 3.35154e-05	-0.0267117 0.000145528	
57.5	102.358	46.5	0.137182 1.27145e-06	0.136723 0.000676433	0.00113964 0.0031854	0.0551535 4.66018e-05	0.0613159 0.000249808	-0.0252385 0.00103069	
62.5	87.3123	34.5	0.101586 0.00225119	0.123015 0.00710584	-0.0490147 0.0204416	0.0297868 0.00107448	0.0268016 0.000820953	0.0114599 0.00182296	
67.5	77.2128	25	0.0733748 0.000347958	0.0691725 0.00177644	0.0084302 0.00371444	0.016565 0.00026071	0.020547 0.000980675	-0.015355 0.00265697	
72.5	69.7108	18	0.0786092 0.0018247	0.093574 0.0120712	-0.0300877 0.0234746	-0.0141467 0.000609655	-0.000916025 0.00195342	-0.0439795 0.00538642	
77.5	59.9071	12.5	0.0578242 0.000758303	0.0466752 0.00354633	0.0226959 0.0197867	-0.0100246 0.000412143	-0.0510991 0.00564255	0.128995 0.0168585	
82.5	51.6829	8	0.0601724 0.0047523	0.067308 0.0202954	-0.0161706 0.0394971	0.000366652 0.000901024	-0.0110714 0.00410795	0.0386042 0.0109691	
87.5	56.8247	5	0.0784814 0.000197024	0.0796535 0.0019029	-0.00183119 0.00266427	0.0207239 0.000179324	0.0350919 0.000893029	-0.0374786 0.00185337	
92.5	47.8194	3	0.125977 1.61191e-05	0.221443 0.000151548	-0.199364 0.000284146	-0.0148356 3.59009e-06	-0.0252135 2.06411e-05	0.0191485 3.14616e-05	
97.5	57.1467	2	0.0802875 0.000412999	0.197825 0.00233983	-0.171743 0.00282254	-0.0314438 9.87382e-07	-0.0430048 9.13375e-06	0.0203816 1.43618e-05	
