Cent%	 dNdy	 Npart	 v1{6}^6 err	 v2{6}^6 err	 v3{6}^6 err	 v4{6}^6 err 	 v5{6}^6 err 	 v6{6}^6 err
5	1189.32	363	7.42877e-13 2.04101e-13	4.12874e-11 1.21495e-11	4.01153e-12 3.2405e-12	-7.20908e-15 6.87698e-14	5.92339e-16 1.61001e-15	8.77692e-17 6.72812e-17	
15	572.93	267.5	5.28669e-12 7.94763e-12	3.78569e-08 2.65391e-09	4.53982e-12 1.97712e-11	1.00674e-12 6.72082e-13	3.13728e-14 1.12811e-14	2.04851e-16 3.28797e-16	
25	395.455	191.5	3.65278e-11 2.31042e-11	1.49735e-07 8.7598e-09	2.1608e-11 2.52875e-11	2.22794e-12 9.82051e-13	1.05462e-14 1.49458e-14	2.22649e-16 5.1927e-16	
35	264.267	132	2.74912e-10 1.27828e-10	2.64962e-07 1.65921e-08	1.19737e-11 3.68619e-11	1.61327e-12 1.19944e-12	-9.56077e-15 1.75966e-14	1.64528e-15 2.09023e-15	
45	177.88	87	1.88188e-09 7.20305e-10	2.84416e-07 2.20336e-08	-7.95164e-11 4.14958e-11	1.55303e-13 1.4442e-12	5.55472e-14 3.33913e-14	7.80229e-17 6.43605e-16	
55	114.54	54	1.85376e-09 1.09072e-09	2.36362e-07 2.92623e-08	5.53612e-11 4.30071e-11	-3.17326e-12 1.60858e-12	1.97584e-14 1.6857e-14	-2.42774e-16 9.19857e-16	
65	79.8988	30.5	-5.31092e-09 3.25139e-09	2.76338e-08 3.17768e-08	-1.38842e-11 3.26887e-11	-5.01109e-12 2.88058e-12	-2.44754e-14 3.19262e-14	1.38147e-14 1.61343e-14	
75	67.0512	15.5	-1.49496e-09 9.59031e-10	1.25962e-07 9.82232e-08	-8.13445e-11 1.04525e-10	4.76914e-11 4.40494e-11	-3.64933e-15 2.11814e-14	2.7823e-14 2.82835e-14	
85	54.7302	7	-1.20275e-09 1.33801e-09	-5.45402e-10 8.79989e-08	-1.37304e-11 5.94508e-11	-4.86395e-12 7.50358e-12	1.38948e-14 9.97517e-15	-6.71506e-16 1.41932e-15	
95	52.9152	3	-3.54825e-09 1.83208e-09	-2.96435e-09 8.94951e-08	-5.77767e-11 7.34868e-11	-9.1805e-12 6.50978e-12	-8.3648e-15 1.85659e-14	-9.49384e-16 1.36934e-15	
