Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
0.5	1231.51	409	0.422139 0.063451	0.393457 0.070671	0.177511 0.689064	
1.5	1028.74	397.5	-0.537573 0.283687	-0.606922 0.131944	0.482444 0.157502	
2.5	967.389	387.5	0.621379 0.100576	0.274314 0.980153	0.376822 0.512971	
3.5	930.365	377	-0.534895 0.20202	-0.544471 0.134463	0.645597 0.0844197	
4.5	900.374	366.5	0.701453 0.0462524	-0.577053 0.138548	-0.459815 0.259912	
5.5	870.924	356	0.672235 0.0599448	-0.639477 0.102194	0.523452 0.131191	
6.5	837.717	345.5	0.788018 0.0246681	0.585167 0.0925028	0.548384 0.118947	
7.5	788.514	335	0.736439 0.0556399	-0.796911 0.241782	0.612754 0.0925527	
8.5	772.059	325	0.78596 0.0310472	0.415723 0.248686	0.568066 0.134475	
9.5	732.805	315	0.810938 0.0254328	0.267092 0.989734	0.656218 0.0705565	
10.5	718.119	305.5	0.724953 0.0468065	0.533617 0.116039	-0.492653 0.170027	
11.5	693.984	296	0.815678 0.0193294	-0.5602 0.190929	0.318522 0.629807	
12.5	662.088	286.5	0.779706 0.0328775	-0.397282 0.354434	0.668138 0.061672	
13.5	642.538	277.5	0.814699 0.0200394	-0.18704 1.23193	0.522445 0.142592	
14.5	619.492	269	0.848333 0.01597	0.476761 0.171408	0.533484 0.129708	
15.5	595.425	260.5	0.839915 0.0154372	0.547804 0.128142	0.465419 0.202017	
16.5	572.841	252	0.837668 0.0195025	0.529934 0.13854	0.637041 0.073826	
17.5	551.652	244	0.843133 0.0167194	0.267877 1.44802	0.499588 0.158303	
18.5	530.623	236	0.832787 0.0188526	-0.437746 0.313178	-0.304085 0.691836	
19.5	504.347	228.5	0.845271 0.0163279	0.560495 0.125433	0.573094 0.119232	
20.5	492.033	221	0.820348 0.0194885	0.571576 0.100608	0.614261 0.0674429	
21.5	472.836	213.5	0.874897 0.0109663	0.391518 0.353596	0.620469 0.0867264	
22.5	452.212	206.5	0.838386 0.0224103	0.618256 0.063884	0.213861 1.02747	
23.5	438.154	199.5	0.847393 0.0156709	-0.575666 0.147828	0.705169 0.0434331	
24.5	416.566	192.5	0.863364 0.0120693	0.58145 0.0844568	0.527411 0.117409	
25.5	403.691	186	0.825003 0.0194977	-0.58459 0.179307	0.674029 0.0602061	
26.5	385.628	179.5	0.859759 0.0141494	0.569006 0.112751	-0.451491 0.317203	
27.5	368.67	173	0.862717 0.0152538	0.436928 0.264119	0.613699 0.0927671	
28.5	355.04	167	0.876362 0.0117031	0.486971 0.199754	-0.233306 1.17407	
29.5	339.314	161	0.872472 0.0121595	0.602746 0.0750294	0.650617 0.0686429	
30.5	325.016	155	0.866424 0.0134305	0.514003 0.135459	0.637537 0.0758783	
31.5	312.399	149	0.872254 0.0109462	-0.174791 1.42584	0.506704 0.162717	
32.5	301.121	143.5	0.859089 0.0151248	-0.247555 1.13742	0.566184 0.0968003	
33.5	284.698	138.5	0.856591 0.0155422	0.699391 0.053246	0.671539 0.0614716	
34.5	272.604	133	0.834108 0.017774	0.583619 0.0812207	0.43445 0.238857	
35.5	261.416	127.5	0.837244 0.0169929	-0.416068 0.306633	0.615821 0.084692	
36.5	248.931	122.5	0.8553 0.0160294	0.494031 0.158455	0.548066 0.115226	
37.5	237.069	118	0.856356 0.0130033	0.295306 0.846111	0.703713 0.0440279	
38.5	227.304	113.5	0.830575 0.0166137	0.439773 0.22039	0.617517 0.0682831	
39.5	217.523	108.5	0.839581 0.0148779	0.569425 0.0966809	-0.28656 0.778349	
40.5	206.641	104	0.849702 0.0149137	0.570824 0.10107	0.491894 0.153999	
41.5	196.302	100	0.832257 0.0186913	-0.489445 0.349826	0.713834 0.0415994	
42.5	185.929	96	0.826991 0.0185368	0.509763 0.144736	0.579723 0.0838679	
43.5	178.708	92	0.825421 0.0213589	0.498441 0.144959	0.434328 0.238773	
44.5	169.37	88	0.839989 0.0155984	-0.518157 0.274854	0.387412 0.334179	
45.5	160.029	84	0.793441 0.0242578	-0.201687 1.14768	-0.302828 0.717679	
46.5	151.365	80	0.850608 0.0140246	0.602926 0.0848441	0.415335 0.268078	
47.5	147.694	76.5	0.829136 0.0183401	0.627481 0.0846534	0.560326 0.121704	
48.5	139.056	73	0.838463 0.0179023	0.529186 0.159519	0.501568 0.173935	
49.5	138.819	69.5	0.782579 0.0386288	0.727656 0.0552917	-0.586369 0.181966	
50.5	127.636	66.5	0.82156 0.0232205	0.493237 0.185715	-0.325162 0.720235	
51.5	127.795	63	0.78591 0.0389148	0.462401 0.272567	0.418621 0.432374	
52.5	119.641	59.5	0.815169 0.0310644	0.693084 0.0665352	-0.370301 0.664363	
53.5	108.708	56.5	0.77553 0.0382235	0.619522 0.0907136	-0.884783 0.0873841	
54.5	116.698	54	0.727989 0.11128	0.567862 0.228442	-0.630071 0.22398	
55.5	92.301	51.5	0.813741 0.0187264	-0.392925 0.424008	0.311051 0.641778	
56.5	93.2787	48.5	0.779635 0.0425265	0.358087 0.650913	-0.322118 0.942562	
57.5	89.1	46	0.792981 0.0367537	0.643693 0.0886919	-0.677361 0.148894	
58.5	89.2031	43.5	0.72578 0.0918245	0.659731 0.110746	-0.416279 0.60906	
59.5	94.1027	41	0.8238 0.0508687	0.588315 0.229868	0.300915 0.81706	
60.5	72.0584	39	0.763428 0.0332518	0.512656 0.147821	-0.452901 0.352119	
61.5	74.6346	36.5	0.810486 0.0371552	-0.606986 0.179415	-0.654097 0.180059	
62.5	62.2828	34	0.732085 0.0449844	0.780103 0.0313644	-0.748775 0.0810666	
63.5	60.3841	32	0.707446 0.0672312	0.567163 0.121514	-0.556418 0.197364	
64.5	62.6534	30	0.697733 0.0617168	0.647894 0.0990324	-0.736222 0.126777	
65.5	50.3037	28.5	0.807537 0.0182442	-0.6481 0.171245	-0.697767 0.0775227	
66.5	45.3884	27	0.801236 0.0210492	-0.846826 0.20102	-0.746151 0.0704814	
67.5	41.3315	25	0.769364 0.025811	-0.55875 0.116248	-0.76102 0.0577682	
