Cent%	 dNdy	 Npart	 v1{4}^4 err	 v2{4}^4 err	 v3{4}^4 err	 v4{4}^4 err 	 v5{4}^4 err 	 v6{4}^4 err
5	1189.32	363	-1.07207e-08 7.40347e-10	-4.40739e-08 1.53524e-08	-8.4636e-09 5.36918e-09	-3.03756e-10 6.24729e-10	8.20826e-11 4.74441e-11	-1.00354e-11 4.73023e-12	
15	572.93	267.5	-6.32009e-08 1.24673e-08	1.12254e-05 5.45681e-07	2.04019e-08 3.51282e-08	8.72219e-09 3.49379e-09	7.59255e-10 2.22229e-10	-7.34519e-12 2.24872e-11	
25	395.455	191.5	-1.55951e-07 2.82082e-08	2.86577e-05 1.12306e-06	6.1973e-08 3.8384e-08	1.21035e-08 4.44673e-09	6.67128e-10 2.59123e-10	-8.4433e-11 3.15092e-11	
35	264.267	132	-5.57047e-07 8.73901e-08	4.20974e-05 1.74341e-06	5.63107e-08 5.09773e-08	1.92671e-08 4.52353e-09	7.5465e-10 2.72145e-10	-1.12897e-10 4.69133e-11	
45	177.88	87	-1.53602e-06 2.7458e-07	4.46324e-05 2.26376e-06	3.49827e-08 5.37565e-08	7.27176e-09 5.6996e-09	-6.83874e-10 4.75838e-10	-9.9821e-11 3.68004e-11	
55	114.54	54	-2.68923e-06 5.07981e-07	4.12073e-05 3.1042e-06	2.09751e-07 5.25456e-08	-1.53969e-08 7.11718e-09	1.53002e-11 3.74517e-10	-1.55232e-10 4.44885e-11	
65	79.8988	30.5	-3.72151e-06 1.67611e-06	1.3499e-05 5.42602e-06	6.28029e-08 5.83331e-08	-3.84518e-08 1.35247e-08	-9.23904e-10 6.79169e-10	-5.13434e-10 3.46371e-10	
75	67.0512	15.5	-1.20671e-06 6.07959e-07	2.01328e-05 1.38686e-05	-7.59933e-08 1.47834e-07	-1.804e-07 1.23051e-07	1.73937e-10 7.37546e-10	-8.56768e-10 7.60114e-10	
85	54.7302	7	-2.13226e-06 1.07426e-06	1.30244e-05 1.35373e-05	-1.24572e-08 1.06949e-07	-6.7071e-08 3.39655e-08	6.49669e-10 2.57072e-10	-1.64565e-10 1.16577e-10	
95	52.9152	3	-1.51469e-06 9.93565e-07	8.33995e-06 1.38073e-05	-9.74686e-08 1.76317e-07	-1.31783e-08 2.55765e-08	9.81251e-11 6.18232e-10	-1.20653e-10 1.00508e-10	
