Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
0.5	1231.51	409	0.00822549 5.6902e-05	 0.0266875 0.000124598	 0.0216377 0.000101427	 0.0136086 6.4537e-05	 0.00721002 3.32765e-05	 0.00381166 1.82668e-05	 
1.5	1028.74	397.5	0.0136744 0.00039143	 0.0299125 0.000829155	 0.0231999 0.000658048	 0.0139142 0.000359975	 0.00722086 0.000186867	 0.00385038 0.00010352	 
2.5	967.389	387.5	0.0130571 0.000507953	 0.0302893 0.000954542	 0.0233528 0.000795855	 0.0140035 0.000473726	 0.00740466 0.00025686	 0.00389024 0.000125704	 
3.5	930.365	377	0.0139679 0.000470993	 0.034968 0.00113224	 0.0243598 0.000791542	 0.0138555 0.000391907	 0.00736965 0.000230146	 0.00391731 0.000118285	 
4.5	900.374	366.5	0.0137729 0.000432482	 0.0372498 0.000910115	 0.0245509 0.000726669	 0.0151455 0.000434718	 0.0073847 0.000209102	 0.00421749 0.000123555	 
5.5	870.924	356	0.0145267 0.000444376	 0.0404939 0.000951626	 0.026187 0.000745701	 0.0159976 0.000405322	 0.00784108 0.000189251	 0.0041603 0.000114643	 
6.5	837.717	345.5	0.0152813 0.000456461	 0.0430773 0.000937119	 0.0277741 0.000724492	 0.0153839 0.000407426	 0.00801671 0.000207937	 0.00413592 0.000107157	 
7.5	788.514	335	0.0148708 0.000704211	 0.0454079 0.00132802	 0.0259633 0.0010743	 0.0155066 0.000500294	 0.00745259 0.000256485	 0.00391236 0.000130917	 
8.5	772.059	325	0.015266 0.00053467	 0.0489646 0.00104657	 0.0277396 0.00074274	 0.0169511 0.000436332	 0.00869987 0.000234804	 0.00443348 0.000118766	 
9.5	732.805	315	0.0146142 0.000517518	 0.050569 0.00123319	 0.0279089 0.000902186	 0.0165397 0.000483435	 0.00760929 0.000247286	 0.00435673 0.0001464	 
10.5	718.119	305.5	0.0163585 0.000470829	 0.0542658 0.00128977	 0.0280138 0.000750276	 0.0172655 0.000496658	 0.00841082 0.000222248	 0.004477 0.000131266	 
11.5	693.984	296	0.0172975 0.000529005	 0.0563393 0.00113452	 0.0298106 0.000843533	 0.0167147 0.000448881	 0.00889293 0.000214704	 0.00450468 0.00012418	 
12.5	662.088	286.5	0.0178574 0.000591793	 0.0589587 0.00131587	 0.0287765 0.000819354	 0.0182009 0.000457864	 0.00839207 0.000212834	 0.00465859 0.000129623	 
13.5	642.538	277.5	0.0181408 0.000541258	 0.0640885 0.00127467	 0.0288664 0.000768484	 0.017314 0.000443187	 0.00893933 0.00023376	 0.00468541 0.000125532	 
