Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
0.5	1231.51	409	0.262485 2.75431e-06	0.264631 2.51721e-05	-0.125912 0.00243234	0.205016 6.84166e-06	0.205744 1.18522e-05	-0.0373449 0.00152723	
1.5	1028.74	397.5	0.255527 1.84554e-05	0.261628 8.90444e-05	-0.280545 0.00779915	0.196417 1.05503e-05	0.195929 0.000868066	0.019511 0.0476304	
2.5	967.389	387.5	0.251887 0.000314054	0.256937 0.000691819	-0.217515 0.00656802	0.200504 0.000550478	0.20265 0.0497107	-0.0893814 0.869525	
3.5	930.365	377	0.260617 0.000227076	0.251291 0.000534752	0.334064 0.00168034	0.187881 6.0438e-05	0.192984 8.43668e-05	-0.179598 0.00343509	
4.5	900.374	366.5	0.249912 6.52434e-05	0.258146 0.00616583	-0.241946 0.162257	0.186096 0.000130975	0.179785 0.00055898	0.214062 0.0361904	
5.5	870.924	356	0.24755 0.000395293	0.252139 0.000115974	-0.113025 0.0259226	0.190051 0.000194895	0.182874 0.000474009	0.216253 0.00868457	
6.5	837.717	345.5	0.242696 0.000322507	0.248788 0.00427396	-0.137047 0.0975976	0.189975 4.42553e-05	0.18133 5.06876e-05	0.251972 0.0121542	
7.5	788.514	335	0.233987 0.000217996	0.230451 0.00163492	0.0670841 0.0416758	0.182871 0.000273774	0.175152 0.000444527	0.210596 0.0321807	
8.5	772.059	325	0.241319 7.61849e-05	0.240341 0.000800964	0.0170452 0.0259138	0.181573 1.47488e-05	0.184991 2.71769e-06	-0.087713 0.00364126	
9.5	732.805	315	0.241426 0.000278285	0.232607 0.0227233	0.149471 0.242665	0.17468 5.99766e-06	0.178411 2.47739e-05	-0.0868521 0.000753752	
10.5	718.119	305.5	0.234318 0.000242884	0.222374 0.00121307	0.161279 0.0205516	0.175711 0.000135567	0.181564 0.000325677	-0.133802 0.00363199	
11.5	693.984	296	0.237957 4.08025e-05	0.236961 0.00187622	0.0131732 0.0320701	0.180331 3.96295e-05	0.17407 0.000117176	0.134772 0.00181932	
12.5	662.088	286.5	0.23426 8.87536e-05	0.224158 0.0107283	0.121093 0.0923285	0.167604 4.29615e-05	0.17195 7.28251e-06	-0.0921173 0.00409745	
13.5	642.538	277.5	0.23728 0.000113222	0.22992 0.0333549	0.0754539 0.166004	0.171308 5.30154e-05	0.176284 0.000124071	-0.108677 0.000843117	
14.5	619.492	269	0.238182 0.000141108	0.232576 0.000529006	0.0536547 0.00127798	0.168618 0.000346792	0.182125 0.0033442	-0.233174 0.0565533	
15.5	595.425	260.5	0.238326 1.48035e-06	0.228181 7.39781e-06	0.09747 5.80878e-05	0.170927 3.87899e-05	0.172699 0.000264409	-0.0338816 0.0109485	
16.5	572.841	252	0.229295 4.78953e-05	0.22515 0.000217313	0.0372456 0.00650541	0.164227 4.49811e-05	0.169405 0.000191207	-0.0864689 0.00437915	
17.5	551.652	244	0.23687 1.12374e-05	0.223775 0.00371252	0.112273 0.0319973	0.166896 0.000124343	0.163373 0.000377302	0.0635238 0.00781005	
18.5	530.623	236	0.230416 9.46036e-05	0.212176 0.000535726	0.138197 0.0063336	0.152217 4.62789e-06	0.154145 1.35236e-05	-0.0323798 0.00013841	
19.5	504.347	228.5	0.231447 0.00012516	0.222343 0.000607163	0.0665812 0.0027015	0.150836 1.97073e-05	0.149626 0.000139431	0.0200041 0.0047687	
20.5	492.033	221	0.2263 6.54513e-05	0.210845 8.44561e-05	0.103439 0.00234575	0.155479 4.17547e-05	0.167339 0.000137381	-0.179128 0.00153306	
21.5	472.836	213.5	0.22514 9.02594e-05	0.213129 0.00137199	0.0825632 0.014708	0.150592 0.000279072	0.154844 0.00414056	-0.0592982 0.0421198	
22.5	452.212	206.5	0.225877 0.000156423	0.210467 0.00368191	0.0962153 0.0224952	0.155421 1.81053e-05	0.157148 0.00015217	-0.025248 0.0042363	
23.5	438.154	199.5	0.225098 1.2074e-05	0.206269 6.7779e-05	0.123668 0.000968118	0.146976 4.9834e-05	0.141346 0.0021392	0.0641045 0.0233276	
24.5	416.566	192.5	0.228267 2.36624e-05	0.210425 0.00296108	0.100989 0.0191565	0.150574 9.00023e-05	0.148808 0.000277307	0.0234754 0.00177053	
25.5	403.691	186	0.22336 1.32276e-05	0.203497 0.000204512	0.111367 0.00343265	0.138471 1.614e-05	0.13613 0.000260495	0.0246013 0.00553176	
26.5	385.628	179.5	0.221683 3.04274e-06	0.202244 0.00141602	0.0986492 0.0108333	0.138788 6.18605e-05	0.146568 0.000898899	-0.100988 0.0137564	
27.5	368.67	173	0.220909 2.18721e-05	0.192217 0.00129993	0.143977 0.00989051	0.140139 7.51045e-05	0.146534 0.00012378	-0.0718003 0.000484896	
28.5	355.04	167	0.219997 2.94498e-05	0.204987 0.00020034	0.0748571 0.000110721	0.139275 0.000113645	0.142476 0.00040379	-0.0391094 0.00867822	
29.5	339.314	161	0.220839 1.07009e-05	0.199269 0.0106576	0.105245 0.0396095	0.135725 0.000349038	0.143066 0.000638487	-0.0772539 0.00109216	
30.5	325.016	155	0.219178 3.92931e-05	0.191617 0.000308	0.125241 0.00111469	0.140162 0.000116175	0.143254 5.86841e-05	-0.0321796 0.00286745	
31.5	312.399	149	0.216332 1.12493e-05	0.195404 0.00179023	0.0917955 0.0109415	0.137736 4.58273e-05	0.131158 0.000480581	0.0732471 0.00789308	
32.5	301.121	143.5	0.211261 0.00010724	0.187311 0.00334616	0.103832 0.0163968	0.130922 4.57285e-06	0.129035 1.32138e-05	0.0162843 8.02488e-05	
33.5	284.698	138.5	0.216468 7.41416e-05	0.186735 0.00654963	0.123691 0.0255349	0.127234 0.000187296	0.144217 0.000160204	-0.170964 0.00609405	
34.5	272.604	133	0.210693 2.48218e-05	0.187728 7.85425e-05	0.0943597 0.00102406	0.121803 3.25384e-05	0.115883 0.00187408	0.0544126 0.0170041	
