Cent%	 dNdy	 Npart	 v2{2}/v3{2} err
0.5	1231.51	409	1.23338 0.00809141
1.5	1028.74	397.5	1.28934 0.0505527
2.5	967.389	387.5	1.29703 0.0568243
3.5	930.365	377	1.43548 0.066665
4.5	900.374	366.5	1.51725 0.0598837
5.5	870.924	356	1.54634 0.0563002
6.5	837.717	345.5	1.55099 0.0506547
7.5	788.514	335	1.74892 0.0896531
8.5	772.059	325	1.76515 0.0590609
9.5	732.805	315	1.81193 0.074325
10.5	718.119	305.5	1.93711 0.0709749
11.5	693.984	296	1.88991 0.0669726
12.5	662.088	286.5	2.04885 0.077856
13.5	642.538	277.5	2.22018 0.0772761
14.5	619.492	269	2.11065 0.074313
15.5	595.425	260.5	2.17027 0.0712053
16.5	572.841	252	2.10796 0.0683579
17.5	551.652	244	2.29271 0.0784848
18.5	530.623	236	2.40279 0.0794682
19.5	504.347	228.5	2.40146 0.0813295
20.5	492.033	221	2.38745 0.0788592
21.5	472.836	213.5	2.37646 0.0743735
22.5	452.212	206.5	2.45224 0.0748812
23.5	438.154	199.5	2.28635 0.0774036
24.5	416.566	192.5	2.56192 0.0814539
25.5	403.691	186	2.42618 0.0941472
26.5	385.628	179.5	2.7177 0.0868323
27.5	368.67	173	2.67098 0.0884014
28.5	355.04	167	2.74371 0.0891309
29.5	339.314	161	2.65138 0.0819543
30.5	325.016	155	2.64788 0.0873357
31.5	312.399	149	2.76443 0.0894697
32.5	301.121	143.5	2.54336 0.0918825
33.5	284.698	138.5	2.76457 0.0880228
34.5	272.604	133	2.67846 0.0942745
35.5	261.416	127.5	2.69233 0.0927514
36.5	248.931	122.5	2.73055 0.0982081
37.5	237.069	118	2.6407 0.0887834
38.5	227.304	113.5	2.75625 0.0954036
39.5	217.523	108.5	2.90467 0.0988075
40.5	206.641	104	3.08031 0.0994174
41.5	196.302	100	2.62149 0.0928774
42.5	185.929	96	2.65627 0.095935
43.5	178.708	92	2.73086 0.0974
44.5	169.37	88	2.91417 0.111048
45.5	160.029	84	2.79112 0.0989193
46.5	151.365	80	2.86714 0.099694
47.5	147.694	76.5	2.82288 0.112443
48.5	139.056	73	2.9102 0.118394
49.5	138.819	69.5	2.66974 0.139423
50.5	127.636	66.5	2.888 0.134607
51.5	127.795	63	2.63147 0.156413
52.5	119.641	59.5	2.8674 0.158424
53.5	108.708	56.5	2.93268 0.136867
54.5	116.698	54	2.59033 0.259293
55.5	92.301	51.5	3.23481 0.123961
56.5	93.2787	48.5	3.12328 0.166787
57.5	89.1	46	2.59861 0.142926
58.5	89.2031	43.5	2.92321 0.228783
59.5	94.1027	41	2.69937 0.287061
60.5	72.0584	39	3.20023 0.140538
61.5	74.6346	36.5	3.24277 0.251561
62.5	62.2828	34	3.21353 0.151466
63.5	60.3841	32	3.31272 0.176417
64.5	62.6534	30	3.02026 0.188437
65.5	50.3037	28.5	3.75037 0.140228
66.5	45.3884	27	4.03384 0.167079
67.5	41.3315	25	3.69825 0.141755
68.5	40.3877	23.5	3.77366 0.144255
69.5	37.7578	22	4.03983 0.15902
70.5	34.8084	20.5	4.17069 0.159236
71.5	31.2636	19	4.17094 0.166202
72.5	30.6727	17.5	4.25339 0.176212
73.5	28.4967	16.5	4.0656 0.173616
74.5	26.6988	15.5	4.36016 0.185107
75.5	24.2071	14.5	4.37744 0.212119
76.5	20.7457	13	4.22289 0.178708
77.5	20.9393	12	3.83014 0.20841
78.5	27.388	11.5	2.79278 0.289829
79.5	20.9859	10.5	3.52185 0.325299
80.5	15.0611	9.5	4.44667 0.220456
81.5	15.2289	8.5	3.93033 0.267066
82.5	20.0858	8	2.98425 0.405637
83.5	44.0861	7.5	3.44617 0.582009
84.5	12.6206	6.5	3.20925 0.301458
85.5	61.5735	6	3.33462 0.50024
86.5	50.3916	5.5	3.67276 0.603088
87.5	42.6435	5	3.76439 0.588293
88.5	61.517	4.5	4.72616 0.90168
89.5	46.116	4	3.18204 0.424521
90.5	40.0433	4	5.71305 0.824455
91.5	39.0551	3.5	3.94493 0.681906
92.5	44.307	3	3.62881 0.579714
93.5	34.6529	2.5	5.30273 0.863223
94.5	37.0988	2	2.74295 0.944075
95.5	262.711	2	2.73311 0.262731
96.5	327.79	2	2.68702 0.217307
97.5	309.195	2	2.86899 0.223001
98.5	302.058	2	2.72167 0.262
99.5	361.976	0	3.08888 0.220517
