Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
5	1189.32	363	0.00927901 6.57874e-05	 0.0278529 0.000130793	 0.0221087 0.000101973	 0.0137634 6.26493e-05	 0.00725287 3.2384e-05	 0.00383903 1.77988e-05	 
15	572.93	267.5	0.0194203 0.000235847	 0.0697709 0.00051135	 0.0307266 0.000306874	 0.017793 0.000171769	 0.00900634 8.55829e-05	 0.00479937 4.88259e-05	 
25	395.455	191.5	0.0235119 0.000264744	 0.0856255 0.000535909	 0.033158 0.000295862	 0.0193336 0.000169264	 0.00963717 8.47998e-05	 0.00518014 5.01614e-05	 
35	264.267	132	0.0289754 0.000352881	 0.0957665 0.000615851	 0.0353772 0.000316088	 0.0201066 0.00017184	 0.00994168 8.69013e-05	 0.0052852 5.14602e-05	 
45	177.88	87	0.034717 0.00049619	 0.0987072 0.00071554	 0.0356001 0.000350695	 0.0198292 0.000192799	 0.00965666 9.98986e-05	 0.00518248 5.50773e-05	 
55	114.54	54	0.0416515 0.000768463	 0.0989368 0.00100074	 0.0343566 0.000424314	 0.0189794 0.000269027	 0.00903555 0.000120953	 0.00487668 7.37907e-05	 
65	79.8988	30.5	0.0565961 0.00222364	 0.0881537 0.00261014	 0.0281116 0.000896125	 0.0169059 0.000690127	 0.00846216 0.000309333	 0.00486227 0.000227603	 
75	67.0512	15.5	0.0397337 0.00298287	 0.096419 0.00519007	 0.0297361 0.00191674	 0.0174099 0.0018822	 0.00761295 0.000455816	 0.00443046 0.00050463	 
85	54.7302	7	0.0381482 0.00392758	 0.0928778 0.00606216	 0.0268703 0.00196222	 0.0161757 0.00165579	 0.00608646 0.00031629	 0.00412878 0.000375248	 
95	52.9152	3	0.0441416 0.00393159	 0.0922073 0.00651854	 0.0277006 0.00225685	 0.0183142 0.00145577	 0.0070867 0.000522557	 0.00422112 0.000375256	 
