Cent%	 dNdy	 Npart	 gamma2 err 	 k12 err 	 k22 err	 gamma3 err 	 k13 err 	 k23 err
5	1189.32	363	0.258567 2.62698e-06	0.264193 8.44017e-06	-0.271681 0.00098689	0.202825 6.13373e-06	0.203556 4.27667e-06	-0.0344167 0.000906393	
15	572.93	267.5	0.23365 1.89462e-05	0.226011 7.90762e-05	0.0650693 0.000367064	0.161686 6.28547e-06	0.1651 3.1936e-05	-0.0606463 0.000891911	
25	395.455	191.5	0.222982 3.713e-08	0.207459 0.000194461	0.0836769 0.00147094	0.140791 7.99127e-06	0.144097 8.68162e-05	-0.0396564 0.00128788	
35	264.267	132	0.210657 1.91029e-05	0.18494 0.000288543	0.101198 0.00135048	0.122911 1.43045e-05	0.125536 0.000352754	-0.0222109 0.00231625	
45	177.88	87	0.195575 1.22103e-05	0.164741 7.58479e-05	0.100347 0.000404693	0.101163 9.05289e-06	0.107274 0.000582043	-0.0369352 0.00238897	
55	114.54	54	0.170049 1.65475e-05	0.143975 0.0002275	0.0694145 0.00109638	0.0766238 1.46715e-05	0.0844431 2.12829e-05	-0.0358558 6.97468e-05	
65	79.8988	30.5	0.10978 0.000897129	0.114062 0.00298517	-0.00933007 0.00843535	0.033278 0.000451407	0.0349643 0.000179135	-0.00669161 0.00144748	
75	67.0512	15.5	0.0772223 0.00128898	0.0963778 0.00786658	-0.0393435 0.0153415	-0.0121141 0.000350401	-0.0138012 0.00114464	0.00543344 0.00294559	
85	54.7302	7	0.0803663 0.00285965	0.0966653 0.0133238	-0.0312933 0.0242007	0.00722628 0.00045522	-0.00229429 0.00227305	0.0264565 0.00511595	
95	52.9152	3	0.126559 0.000255892	0.265837 0.00236875	-0.297475 0.00452038	-0.0166303 5.19809e-07	-0.0304032 2.64943e-06	0.0264756 4.09378e-06	
