Cent%	 dNdy	 Npart	 v1{2} err	 v2{2} err	 v3{2} err	 v4{2} err 	 v5{2} err 	 v6{2} err
2.5	1211.06	388.5	0.00890096 6.09486e-05	 0.0271853 0.00012376	 0.0218644 9.88377e-05	 0.0136955 6.21063e-05	 0.00723035 3.20399e-05	 0.00382848 1.76509e-05	 
7.5	779.431	335.5	0.0155591 0.000270235	 0.0480666 0.000561818	 0.027021 0.00040049	 0.0162868 0.000219693	 0.00815167 0.000116232	 0.00430605 6.21118e-05	 
12.5	656.933	287.5	0.017978 0.00029063	 0.0610737 0.000622096	 0.0296608 0.000389496	 0.0173495 0.000215174	 0.00872772 0.000105379	 0.00463412 6.10692e-05	 
17.5	543.237	245	0.019657 0.000288313	 0.0714577 0.000651076	 0.0308267 0.000387194	 0.0179111 0.000218948	 0.00902255 0.000110077	 0.00479368 6.11734e-05	 
22.5	450.429	207	0.0221711 0.000331952	 0.0804184 0.000655793	 0.0329889 0.000380643	 0.018491 0.000203961	 0.00953742 0.000110815	 0.00509253 6.16263e-05	 
27.5	366.534	173.5	0.0245336 0.000350164	 0.0882444 0.000707051	 0.0332814 0.000392515	 0.0198298 0.000227033	 0.00975922 0.000112918	 0.00523761 6.80512e-05	 
32.5	298.646	144	0.0275265 0.000417748	 0.0939308 0.000762048	 0.0349451 0.000405356	 0.0199533 0.000225793	 0.0101175 0.000117758	 0.00517022 6.31527e-05	 
37.5	237.734	118	0.0296797 0.000431402	 0.0982535 0.000817383	 0.0356647 0.000413739	 0.0201588 0.00022331	 0.00986776 0.000112075	 0.0053173 6.53931e-05	 
42.5	189.772	96	0.0327794 0.000529766	 0.0986276 0.000851151	 0.0356143 0.000425905	 0.0198257 0.000223855	 0.00964795 0.000120244	 0.00519517 6.39832e-05	 
47.5	151.02	77	0.0374234 0.00068829	 0.10058 0.00101649	 0.0357002 0.000472347	 0.0199009 0.000269734	 0.00952474 0.000129653	 0.00512828 7.80162e-05	 
52.5	120.94	60.5	0.0428559 0.00096217	 0.0987016 0.00128185	 0.0341601 0.000561568	 0.0190952 0.000338843	 0.00911688 0.000158641	 0.00506184 9.39737e-05	 
57.5	102.358	46.5	0.0563648 0.00194166	 0.0911865 0.00219623	 0.0341843 0.000936066	 0.018965 0.000581536	 0.00901953 0.000262037	 0.00504847 0.00017396	 
62.5	87.3123	34.5	0.0599898 0.00341698	 0.0875539 0.00403467	 0.0269105 0.00129461	 0.0160638 0.000914315	 0.009151 0.000535743	 0.00508983 0.000392255	 
67.5	77.2128	25	0.0435928 0.0030983	 0.081499 0.00514246	 0.029395 0.00200189	 0.0159511 0.00151198	 0.00777582 0.000583725	 0.00460923 0.000302276	 
72.5	69.7108	18	0.0412449 0.00417208	 0.101598 0.00672773	 0.0306621 0.00246065	 0.0195169 0.00252336	 0.00761289 0.000531307	 0.00472646 0.000745269	 
77.5	59.9071	12.5	0.0409691 0.0069894	 0.0930551 0.00778363	 0.0264812 0.00259909	 0.0128565 0.00268765	 0.00657315 0.000566165	 0.0034678 0.00051022	 
82.5	51.6829	8	0.0418357 0.00574107	 0.0855486 0.00681904	 0.029398 0.00276674	 0.0137533 0.00150336	 0.00619575 0.000485935	 0.00371968 0.000463153	 
87.5	56.8247	5	0.0363304 0.00494608	 0.0953763 0.00964396	 0.0249799 0.00283538	 0.0161945 0.00241119	 0.00563441 0.000412382	 0.00393834 0.000443774	 
92.5	47.8194	3	0.0492468 0.00855598	 0.0958271 0.012537	 0.0298644 0.00470822	 0.0156933 0.00185344	 0.00718777 0.00115024	 0.00342054 0.000967914	 
97.5	57.1467	2	0.0410352 0.00337575	 0.100392 0.00669722	 0.0251414 0.00203868	 0.0198103 0.00179697	 0.00731942 0.000509851	 0.00436943 0.000403551	 
