Cent%	 dNdy	 Npart	 Q1 err	 Q2 err	 Q3 err
2.5	1211.06	388.5	0.405762 0.00703619	0.907539 0.00135128	0.939398 0.00106765	
7.5	779.431	335.5	0.604649 0.0149939	0.949032 0.00349059	0.903569 0.00834466	
12.5	656.933	287.5	0.574154 0.014155	0.962481 0.00205089	0.90426 0.00682405	
17.5	543.237	245	0.577661 0.0145617	0.969706 0.00158594	0.897835 0.00665459	
22.5	450.429	207	0.557768 0.0125944	0.971036 0.00141153	0.8912 0.00557008	
27.5	366.534	173.5	0.528347 0.0139835	0.972146 0.00130317	0.875609 0.00623967	
32.5	298.646	144	0.493921 0.0147114	0.97046 0.00140866	0.877164 0.00569114	
37.5	237.734	118	0.495941 0.0131421	0.970362 0.00134028	0.872113 0.00543438	
42.5	189.772	96	0.455523 0.0153601	0.962171 0.00177729	0.84467 0.0077391	
47.5	151.02	77	0.482533 0.0149648	0.955552 0.00252327	0.839524 0.0076684	
52.5	120.94	60.5	0.443268 0.0232191	0.926777 0.00504244	0.783292 0.0129252	
57.5	102.358	46.5	0.442992 0.0481225	0.828573 0.0191906	0.634664 0.0377194	
62.5	87.3123	34.5	0.409944 0.0615949	0.649873 0.0600408	0.426961 0.0770514	
67.5	77.2128	25	0.179759 0.138929	0.520957 0.0684571	0.215219 0.0951165	
72.5	69.7108	18	0.0862488 0.0946886	0.483523 0.0976009	0.193187 0.103221	
77.5	59.9071	12.5	0.0817796 0.19009	0.361215 0.140025	0.139178 0.230929	
82.5	51.6829	8	0.243001 0.163705	0.342873 0.109764	0.00409184 0.0755154	
87.5	56.8247	5	0.0542665 0.1621	0.478053 0.0856033	0.271708 0.104567	
92.5	47.8194	3	0.122264 0.0509878	0.449286 0.184522	0.151666 0.111341	
97.5	57.1467	2	0.139051 0.153753	0.149 0.0574447	0.191849 0.0953675	
