Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
5	1189.32	363	-0.520206 0.0457156	-0.433836 0.0723821	-0.303324 0.163948	
15	572.93	267.5	0.829613 0.00723601	0.388958 0.1556	0.543133 0.0531277	
25	395.455	191.5	0.85449 0.00531933	0.475841 0.07213	0.542519 0.0489711	
35	264.267	132	0.841106 0.00562325	0.435436 0.0957093	0.585956 0.033319	
45	177.88	87	0.828063 0.00722562	0.38416 0.142331	0.465698 0.0874489	
55	114.54	54	0.809814 0.0102399	0.622897 0.0368196	-0.586915 0.069875	
65	79.8988	30.5	0.687599 0.0600622	0.56313 0.123533	-0.828306 0.0705458	
75	67.0512	15.5	0.694725 0.115181	-0.558354 0.358664	-1.18376 0.201599	
85	54.7302	7	0.646811 0.147041	-0.393171 0.600472	-0.994882 0.107587	
95	52.9152	3	0.582808 0.232733	-0.637862 0.240021	-0.585028 0.34821	
