Cent%	 dNdy	 Npart	 v2{4}/v2{2} err	 v3{4}/v3{2} err	 v4{4}/v4{2} err
2.5	1211.06	388.5	-0.285509 0.286441	0.293684 0.166102	0.184266 0.593529	
7.5	779.431	335.5	0.758757 0.0178272	-0.522387 0.1541	0.575561 0.0612568	
12.5	656.933	287.5	0.790741 0.0125257	-0.330887 0.304864	0.558477 0.055263	
17.5	543.237	245	0.839519 0.00844636	0.457909 0.12962	0.554271 0.0646782	
22.5	450.429	207	0.850579 0.00744244	0.463487 0.0986766	0.598467 0.0414925	
27.5	366.534	173.5	0.864637 0.00616966	0.459804 0.109994	0.561885 0.0559962	
32.5	298.646	144	0.858333 0.00650435	0.506041 0.0738163	0.576809 0.0473834	
37.5	237.734	118	0.841422 0.00711004	0.41779 0.138074	0.583446 0.0423651	
42.5	189.772	96	0.834275 0.00823791	0.318449 0.295546	0.58565 0.0421966	
47.5	151.02	77	0.820077 0.0100405	0.498132 0.0851774	0.351963 0.272532	
52.5	120.94	60.5	0.80891 0.0129223	0.538633 0.0751226	-0.508365 0.146874	
57.5	102.358	46.5	0.787022 0.0272712	0.672173 0.06203	0.223097 0.961652	
62.5	87.3123	34.5	0.64428 0.103701	0.560193 0.170308	-0.709883 0.164768	
67.5	77.2128	25	0.313886 0.713778	-0.626897 0.199584	-1.04608 0.106922	
72.5	69.7108	18	0.725761 0.113774	-0.49777 0.594188	-1.12684 0.21737	
77.5	59.9071	12.5	0.846304 0.0908573	0.753253 0.136384	-1.13504 0.658298	
82.5	51.6829	8	0.755891 0.103067	0.516459 0.623528	-0.695176 0.246246	
87.5	56.8247	5	0.642693 0.252422	-0.430767 0.410675	-0.913023 0.328872	
92.5	47.8194	3	0.556769 0.677277	-0.711484 0.291759	0.696212 0.212832	
97.5	57.1467	2	0.812967 0.0631874	0.647922 0.189446	-0.422654 0.508793	
